Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;10.0;6;20.0;
4;2;8.14999961853;10.6999998093;4;22.8400001526;1;8.0;10.0;6;20.0;
5;2;8.42599964142;10.9200000763;4;23.6501437426;1;8.0;10.0;6;20.0;
6;2;9.52799987793;11.2650718689;4;24.3396611214;1;9.0;10.0;6;20.0;
7;2;10.4764242172;11.543302536;4;24.9285950661;1;9.5;10.0;6;20.0;
8;2;10.6089334488;11.7641716003;4;25.6865624189;1;9.5;10.0;6;20.3999996185;
9;2;10.7794761658;12.0549411774;4;26.3381440639;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;10.9260816574;12.2827939987;4;26.907253623;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;11.0541315079;12.4589796066;4;27.2282226086;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;13.9748477936;12.5;4;27.4905240536;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;15.9748477936;12.5;4;27.7771704197;1;10.1557292938;11.4571752548;5;23.6214065552;
14;2;17.1521205902;12.5;4;28.0888476372;1;10.3148164749;11.8107032776;5;24.1832637787;
15;2;18.2222480774;12.5;4;28.4258766174;1;11.3148164749;12.0916318893;5;24.6226100922;
16;2;19.298078537;12.5;4;28.7881331444;1;12.3148164749;12.3113050461;5;24.9617595673;
17;2;20.3795852661;12.5;4;29.1749720573;1;12.6163959503;12.4808797836;5;25.0;
18;2;20.5643692017;12.5;5;29.5851640701;1;14.3148164749;12.5;5;25.0;
19;2;20.6566619873;12.5;5;30.0168495178;1;15.3148164749;12.5;6;25.0;
20;2;20.7537918091;12.5;5;30.4675207138;1;16.3148155212;12.5;6;25.0;
21;2;20.8551921844;12.5;5;30.934035778;1;17.3148155212;12.5;6;25.0;
22;2;20.9601573944;12.5;5;31.4126729965;1;17.625;12.5;6;25.0;
23;2;21.0678520203;12.5;5;31.8992233276;1;17.625;12.5;6;25.0;
24;2;21.1773262024;12.5;5;32.3891215324;1;17.625;12.5;6;25.0;
25;2;19.625;13.5;7;32.8776073456;1;17.625;12.5;7;25.0;
26;3;20.625;12.5;6;33.3599052429;1;17.625;12.5;8;25.0;
27;3;19.625;13.5;6;33.8314113617;1;17.625;12.5;9;25.0;
28;3;19.625;14.5;7;34.2878704071;1;17.625;12.5;9;25.0;
29;3;19.625;15.5;7;34.7255268097;1;17.625;12.5;9;25.0;
30;3;20.625;13.5;7;35.1412420273;1;17.625;12.5;9;25.0;
31;3;19.625;14.5;7;35.5325679779;1;17.625;12.5;9;25.0;
32;3;19.625;15.5;7;35.8977775574;1;17.625;12.5;9;25.0;
33;3;19.625;16.5;7;36.2358512878;1;17.625;12.5;9;25.0;
34;3;20.625;14.5;7;36.5464267731;1;17.625;12.5;9;25.0;
35;3;21.625;13.5;7;36.8297271729;1;17.625;12.5;9;25.0;
36;3;22.2866897583;12.5;7;37.0864648819;1;17.625;12.5;9;25.0;
37;3;22.344455719;12.5;8;37.3177433014;1;17.625;12.5;9;25.0;
38;3;20.344455719;13.5;8;37.5249595642;1;17.625;12.5;9;25.0;
39;3;19.344455719;13.5;8;37.7097082138;1;17.625;12.5;9;25.0;
40;3;19.344455719;14.5;8;37.8737001419;1;17.625;12.5;8;25.0;
41;3;18.5215835571;15.5;8;38.0;1;17.625;12.5;7;25.0;
42;3;17.5499992371;16.5;8;38.0;1;17.625;12.5;8;25.0;
43;3;16.9249992371;17.5;7;38.0;1;17.625;12.5;8;25.0;
44;3;17.9249992371;18.5;9;38.0;1;17.625;12.5;7;25.0;
45;3;18.9249992371;19.5;9;38.0;1;15.625;13.5;8;25.0;
46;3;19.9249992371;20.5;9;38.0;1;14.625;14.5;8;25.0;
47;3;20.9249992371;21.5;10;38.0;1;13.625;15.5;8;25.0;
48;3;21.9249992371;22.5;10;38.0;1;12.625;16.5;7;25.0;
49;3;22.5499992371;22.5;10;38.0;1;12.0;17.5;7;25.0;
50;3;22.5499992371;22.5;10;38.0;1;12.0;18.5;7;25.0;
51;3;22.5499992371;22.5;9;38.0;1;12.0;19.5;7;25.0;
52;3;22.5499992371;22.5;9;38.0;1;12.0;20.5;8;25.0;
53;3;22.5499992371;22.5;9;38.0;1;12.0;21.5;8;25.0;
54;3;22.5499992371;22.5;10;38.0;1;13.0;19.5;8;25.0;
55;3;22.5499992371;22.5;10;38.0;1;14.0;18.5;8;25.0;
56;3;22.5499992371;22.5;10;38.0;1;15.0;17.5;8;25.0;
57;3;22.5499992371;22.5;10;38.0;1;16.0;17.5;9;25.0;
58;4;23.5499992371;23.5;10;39.0;1;17.0;17.5;9;25.0;
59;4;24.5499992371;24.5;10;39.0399999619;1;17.625;17.5;11;25.0;
60;4;24.5499992371;25.5;11;39.0811839104;1;17.625;17.5;12;25.0;
61;4;24.5499992371;26.5;11;39.1235535145;1;17.625;17.5;12;25.0;
62;4;24.8027992249;27.5;12;39.1671074629;1;17.625;17.5;13;25.0;
63;4;24.8125991821;27.5;13;39.211841464;1;17.625;17.5;13;25.0;
64;5;25.5499992371;29.1059207916;13;40.2577478886;1;17.625;17.5;13;25.0;
65;5;26.8329925537;29.5;13;40.3448159695;1;17.625;17.5;12;25.0;
66;5;26.5499992371;31.1524085999;14;40.4342153072;1;17.625;17.5;13;25.0;
67;5;26.8544311523;31.5;14;40.5259295702;1;17.625;17.5;13;25.0;
68;5;26.8027992249;33.2011871338;13;40.619935751;1;17.625;17.5;13;25.0;
