Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;2;11.3000001907;10.0;4;21.0;1;9.0;10.0;5;20.0;
5;2;12.4499998093;10.0;3;21.0900000334;2;11.0;10.0;4;21.0;
6;2;13.4905004501;10.0;3;21.1871190071;2;13.0;10.0;4;21.0900000334;
7;2;14.5342035294;10.0;3;21.7036092281;2;14.0;10.0;3;21.5980186462;
8;2;14.7666244507;10.1999998093;3;22.1564130783;2;14.4794054031;10.1999998093;2;22.0418490171;
9;2;14.9703855515;10.3632001877;3;23.4291926622;2;14.6125545502;10.3632001877;2;23.3017349243;
10;2;15.5431365967;10.9097137451;3;24.540822506;2;14.9905204773;10.9097137451;2;24.3994617462;
11;2;17.5431365967;11.3658018112;3;25.5043385029;2;15.3198385239;11.3658018112;2;25.3481024504;
12;2;19.5431365967;11.7372808456;3;26.3401436806;2;17.3198394775;11.7372808456;2;26.1681330204;
13;2;20.8414783478;12.0336990356;4;27.0718023777;2;19.3198394775;12.0336990356;3;26.8832330704;
14;2;21.9614181519;12.2662630081;4;27.7228300571;2;20.5246925354;12.2662630081;3;27.5170819759;
15;2;23.092376709;12.446267128;4;28.1464314461;2;21.6068458557;12.446267128;3;27.923101902;
16;2;24.2346363068;12.5;4;28.4879314899;2;22.6964111328;12.5;3;28.2468910217;
17;2;25.3883113861;12.5;4;28.8545851707;2;23.793548584;12.5;2;28.5960328579;
18;2;26.5533065796;12.5;4;29.2456488609;2;24.8982906342;12.5;2;28.9701628685;
