Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;2;11.3000001907;10.0;4;21.0;1;9.0;10.0;5;20.0;
5;2;12.4499998093;10.0;4;21.0299999714;1;10.0;10.0;5;20.0;
6;2;13.4635000229;10.0;4;21.0605909824;1;11.0;10.0;5;20.0;
7;2;14.4772663116;10.0;4;21.5023716688;1;11.0;10.0;5;20.3999996185;
8;2;14.6760673523;10.1999998093;4;21.8717387915;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;14.8422813416;10.3632001877;4;23.0203682184;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;15.3591661453;10.9097137451;4;23.9901782274;2;11.597111702;10.4951858521;4;23.0619120598;
11;2;17.3591651917;11.3658018112;4;24.7928106785;2;11.9185733795;11.0209560394;4;23.9545464516;
12;2;19.3591651917;11.7372808456;4;25.4473642111;2;13.9185733795;11.4571752548;4;24.6819883585;
13;2;20.4397277832;12.0336990356;5;25.9762470722;2;15.9185733795;11.8107032776;5;25.2644146681;
14;2;21.4684181213;12.2662630081;5;26.4020352364;2;16.9369182587;12.0916318893;5;25.7245066166;
15;2;22.4980182648;12.446267128;3;26.5772850513;2;17.9431419373;12.3113050461;5;26.0845712423;
16;2;23.5285205841;12.5;3;26.6470438242;2;18.9494171143;12.4808797836;5;26.1438889503;
17;2;24.5599117279;12.5;3;26.7187389135;2;19.955739975;12.5;5;26.1651208401;
18;2;25.59217453;12.5;3;26.7923226357;2;20.9621105194;12.5;5;26.1864993572;
