Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;11.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;11.0;10.0;5;20.0;1;11.3999996185;16.0;6;32.0;
3;1;11.0;10.0;5;20.0;1;11.3999996185;16.0;6;32.0;
4;1;11.0;10.0;5;20.0;1;11.3999996185;16.0;5;31.7439994812;
5;1;12.0;10.0;5;20.0;1;12.3999996185;15.8719997406;5;31.3087997437;
6;1;13.0;10.0;4;20.0;1;13.3999996185;15.6543998718;5;30.9171199799;
7;1;14.0;10.0;4;20.3999996185;1;14.275135994;15.4585599899;5;30.6502075195;
8;1;14.1800003052;10.1999998093;4;20.7264003754;1;14.1950626373;15.3251037598;5;30.409986496;
9;1;14.3268795013;10.3632001877;4;21.8194274902;1;14.1229963303;15.204993248;5;31.097864151;
10;1;14.8187427521;10.9097137451;4;22.7316036224;2;16.4950618744;15.5489320755;4;32.587387085;
11;1;15.8187427521;11.3658018112;4;23.4745616913;2;18.4950618744;15.7936935425;4;32.4432083368;
12;1;16.8187427521;11.7372808456;4;24.0673980713;2;20.4950618744;15.703204155;4;32.3180991411;
13;1;17.8187427521;12.0336990356;5;24.5325260162;2;21.5174350739;15.6217632294;4;32.2102489471;
14;1;18.8187427521;12.2662630081;5;24.892534256;2;22.5290565491;15.5484666824;5;32.11802423;
15;1;19.8187427521;12.446267128;5;25.0;2;23.5409698486;15.4825000763;6;32.039951086;
16;1;20.8187427521;12.5;5;25.0;2;23.6119842529;15.4231300354;6;31.9746999741;
17;1;21.8187427521;12.5;5;25.0;2;23.5924091339;15.3696966171;7;31.9210724831;
18;1;22.8187427521;12.5;5;25.0;2;23.5763206482;15.321606636;7;31.8779858351;
19;1;23.25;12.5;6;25.0;2;23.5633964539;15.2783260345;7;31.8444594145;
20;1;23.25;12.5;6;25.0;4;22.5980033875;15.2393732071;5;39.5942122936;
21;1;23.25;12.5;6;25.0;4;23.2103309631;15.2043161392;5;40.0612344742;
22;1;23.25;12.5;7;25.0;4;24.1932926178;15.5807533264;6;40.5255614519;
23;1;23.25;12.5;7;25.0;4;25.1779594421;15.8362369537;6;40.9821916819;
24;1;23.25;12.5;7;25.0;4;26.583152771;15.1188116074;6;41.426651597;
25;1;23.25;12.5;7;25.0;4;27.5838394165;15.0958099365;7;41.8551199436;
26;1;23.25;12.5;7;25.0;4;28.5859661102;15.0751085281;7;42.2645033598;
27;1;23.25;12.5;6;25.0;4;29.2927570343;15.0564775467;7;42.6524677277;
28;1;23.25;12.5;5;25.0;4;28.9916763306;15.8448505402;7;43.0174307823;
29;1;23.25;12.5;5;25.0;4;29.1382675171;15.8533477783;7;43.3585172892;
30;2;24.25;12.5;4;26.0;4;29.273311615;15.8636198044;7;43.6754866838;
31;2;25.25;13.1000003815;4;26.0299999714;4;29.9113464355;14.9988136292;7;43.968632102;
32;2;25.25;13.1180000305;4;26.0605909824;4;30.0377044678;14.9878120422;8;44.2386901379;
33;2;25.25;13.1363544464;5;26.091766119;4;30.1532020569;14.9779109955;8;44.4867281914;
34;2;25.25;13.1550598145;5;26.1235172749;4;29.700630188;15.9192142487;8;45.7140533924;
35;2;25.25;13.1741104126;5;26.1558350325;4;31.3538284302;15.4209794998;8;46.0901696682;
36;2;25.25;13.1935005188;5;26.1887089014;4;32.4402923584;19.4209785461;8;46.4748467207;
37;2;25.25;13.2132253647;5;26.2221269608;4;32.8863220215;23.4209785461;9;46.7522726059;
38;2;25.25;13.2332763672;6;26.2560760975;4;32.9631118774;27.4209785461;11;47.0537521839;
39;2;25.25;15.2332763672;7;26.2905418873;4;33.0445137024;31.1209793091;11;47.3932976723;
40;2;25.25;17.2332763672;7;26.3255085945;4;33.1361885071;33.6314201355;12;47.774438858;
41;2;25.25;19.2332763672;7;26.3609591722;4;33.2390975952;33.6271591187;14;48.2005360126;
42;2;25.25;21.2332763672;9;26.3968753815;4;33.35414505;33.6233215332;14;48.6745667458;
43;2;25.25;23.2332763672;9;26.4332377911;4;33.482131958;33.6198730469;15;49.1988649368;
