Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
6;1;10.0;10.0;5;20.0;2;9.0;10.1999998093;3;21.0;
7;2;11.0;10.1999998093;4;21.0;2;9.72500038147;10.0;3;21.0299999714;
8;2;11.3000001907;10.0;4;21.4999996424;2;9.73174953461;10.0;3;21.4708906412;
9;2;11.4499998093;10.1999998093;4;21.9353003502;2;9.830950737;10.1999998093;3;21.8393678665;
10;2;11.5805902481;10.3632001877;4;22.3176362514;2;9.91385746002;10.3632001877;3;22.1466006041;
11;2;11.6952905655;10.4951858521;4;23.5373773575;2;9.98298549652;10.4951858521;3;23.2541460991;
12;2;12.0612134933;11.0209560394;4;24.5968167782;2;10.2321834564;11.0209560394;4;24.1846234798;
13;2;14.0612134933;11.4571752548;5;25.5111111403;2;12.0086450577;11.4571752548;4;24.9517599344;
14;2;16.0612125397;11.8107032776;5;26.3018171787;2;14.0086450577;11.8107032776;4;25.5757399797;
15;2;17.2481403351;12.0916318893;5;26.9928781986;2;16.008644104;12.0916318893;4;26.0792449713;
16;2;18.3236541748;12.3113050461;5;27.6076834202;2;17.0505771637;12.3113050461;4;26.4845746756;
17;2;19.4063510895;12.4808797836;5;27.9463441372;2;18.0654678345;12.4808797836;4;26.5909943581;
18;2;20.4964771271;12.5;5;28.2720229626;2;19.0808067322;12.5;4;26.6611413956;
19;2;21.5941810608;12.5;5;28.6230447292;2;19.9987564087;12.5;5;26.7332159281;
20;2;22.5869140625;12.5;6;28.9990065098;2;20.0149726868;12.5;5;26.8071684837;
21;2;21.5;13.5;6;29.3989467621;2;19.625;13.0421504974;5;26.8829400539;
22;2;21.5;12.5;6;29.8212919235;2;19.625;13.0648822784;5;26.9604618549;
23;2;21.5;12.5;6;30.2638244629;2;19.625;13.0881385803;5;27.039655447;
24;2;21.5;12.5;6;30.7236814499;2;19.625;13.1118965149;5;27.1204328537;
25;2;19.5;13.5;5;31.19739151;2;20.1020965576;12.5;4;27.2026965618;
26;2;18.5;14.5;5;31.680949688;2;19.625;13.1608085632;4;27.2863395214;
27;2;17.5;15.5;5;32.1699318886;2;20.1394271851;12.5;4;27.3712463379;
28;2;16.5;16.5;7;32.6596431732;2;20.158531189;12.5;4;27.4572930336;
29;2;15.5;17.5;7;33.1452922821;2;20.1778907776;12.5;4;27.5443477631;
30;2;14.5;18.5;7;33.6221752167;2;18.197479248;13.5;4;27.6322715282;
31;2;14.0;19.5;8;34.0858602524;2;17.2172603607;14.5;4;27.7209193707;
32;2;14.0;20.5;8;34.5323524475;2;16.2372074127;15.5;4;27.8101406097;
33;2;14.0;21.5;8;34.9582242966;2;15.2572822571;16.5;5;27.899780035;
34;2;14.0;22.5;8;35.3607130051;2;14.6524505615;17.5;5;27.989679575;
35;2;14.0;23.5;8;35.7377691269;2;14.6726779938;18.5;5;28.0796785355;
36;2;14.0;24.5;8;36.088060379;2;14.6929273605;19.5;5;28.1696150303;
37;2;15.0;22.5;8;36.4109382629;2;14.7131633759;20.5;5;28.2593274117;
38;3;14.0;23.5;8;49.4563741684;2;14.7333488464;21.5;5;28.3486549854;
39;3;16.0;22.5;7;50.3623743057;2;14.7534475327;22.5;6;28.4374394417;
40;3;16.0;24.5;7;51.1889104843;2;14.7734241486;23.5;6;28.5255258083;
41;3;16.0;26.5;7;51.9346103668;2;14.7932434082;24.5;6;28.6127641201;
42;3;17.0;25.5;8;52.6005125046;2;15.812871933;22.5;6;28.6990094185;
43;3;17.0;24.5;8;53.1896448135;2;14.832277298;23.5;6;28.7841231823;
44;3;16.0;26.5;9;53.7065343857;2;14.8514280319;24.5;7;28.8679747581;
45;3;17.0;22.5;10;54.0653820038;2;15.8702945709;22.5;8;28.9504408836;
46;3;16.0;22.5;10;54.3360214233;2;14.8888492584;23.5;8;29.0314073563;
47;3;16.0;23.5;10;54.5670089722;2;14.9070663452;24.5;8;29.1107692719;
48;3;17.0;21.5;9;54.75;2;15.9249229431;22.5;7;29.188431263;
49;3;16.0;23.5;10;54.75;2;14.9423971176;23.5;8;29.2643074989;
50;3;17.0;26.5;10;54.75;2;14.9594688416;24.5;8;29.3383226395;
51;3;18.0;29.5;10;54.75;2;15.9761228561;23.5;9;29.4104113579;
52;3;19.0;31.8250007629;12;54.75;2;16.0;23.5;9;29.4805188179;
53;3;20.0;33.8250007629;12;54.75;2;18.0;23.5;9;29.5485992432;
54;3;21.0;35.8250007629;13;54.75;2;19.0234355927;23.5;9;29.6146178246;
55;3;22.0;37.8250007629;14;54.75;2;19.0;23.5;9;29.6785478592;
56;3;24.0;36.8250007629;15;54.75;2;20.625;22.5;9;29.7403726578;
57;4;23.5375003815;38.8250007629;12;69.75;2;20.6915836334;22.5;9;29.8000836372;
58;5;24.5375003815;41.8250007629;12;70.5;2;20.7050189972;22.5;9;29.8576807976;
59;5;26.5375003815;41.8250007629;12;71.1693744659;2;19.625;23.5;9;29.9131708145;
60;5;27.5375003815;41.8250007629;14;71.7572898865;2;20.625;22.5;11;29.96656847;
61;6;25.5375003815;44.1242713928;13;72.2662696838;2;20.742477417;22.5;10;30.0;
62;6;27.5375003815;43.0733718872;13;72.7013263702;2;19.625;22.5;10;30.0;
63;6;28.5375003815;42.0298690796;14;73.0690898895;2;19.625;22.5;11;30.0;
64;6;28.5375003815;43.9930915833;13;73.3770179749;3;19.625;22.5;10;30.0;
