Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;13.3000001907;4;17.0;1;13.0;10.0;4;20.0;
2;1;7.0;12.3000001907;4;17.0;1;13.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;4;17.0;1;13.0;10.0;6;20.0;
4;1;7.55000019073;10.3000001907;4;17.0;1;14.0;10.0;5;20.0;
5;1;7.55000019073;9.30000019073;4;17.0;1;15.0;10.0;4;20.0;
6;1;8.55000019073;8.5;4;17.0;1;16.0;10.0;4;20.3999996185;
7;1;8.82499980927;8.5;4;17.0;2;17.6000003815;10.1999998093;3;21.7264003754;
8;1;8.82499980927;8.5;4;17.0;2;18.0358409882;10.3632001877;3;22.8494274616;
9;1;8.82499980927;8.5;4;17.3400001526;2;18.7096557617;10.9097137451;3;23.7921946049;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;20.7096557617;11.3658018112;3;24.5663278103;
11;1;8.96626472473;8.81392192841;3;17.869726181;2;22.7096557617;11.7372808456;3;25.1909153461;
12;1;9.02068901062;8.93486309052;3;18.786491394;2;23.7657661438;12.0336990356;3;25.6883610487;
13;1;9.22696018219;9.39324569702;3;19.5780620575;2;24.4130172729;12.2662630081;3;26.0812431574;
14;1;11.0206890106;9.78903102875;3;20.2480106354;2;24.6487464905;12.446267128;3;26.2221269608;
15;1;12.0206890106;10.1240053177;3;20.8052330017;2;24.7332763672;12.5;3;26.2560760975;
16;1;13.0206890106;10.4026165009;3;21.2618598938;2;26.6891651154;12.5;3;26.2905418873;
17;1;14.0206890106;10.6309299469;4;21.6314201355;2;27.7098445892;12.5;3;26.3255085945;
18;2;15.0206890106;10.8157100677;3;21.9274635315;2;28.7308254242;12.5;4;26.3609591722;
19;2;16.0206890106;10.9637317657;3;22.0;2;29.7520961761;12.5;4;26.3968753815;
20;2;16.9500007629;11.0;3;22.0;2;29.8381252289;12.5;4;26.4332377911;
21;2;16.9500007629;11.0;4;22.0;2;29.8599433899;12.5;4;26.4700255394;
22;2;16.9500007629;11.0;4;22.0;3;29.8820152283;12.5;3;26.5072168112;
23;2;16.9500007629;11.0;4;22.0;3;29.9043292999;12.5;3;26.5447884798;
24;2;16.9500007629;11.0;4;22.0;3;29.9268722534;12.5;3;26.5827163458;
25;2;16.9500007629;11.0;4;22.0;3;29.9496307373;12.5;4;26.6209751368;
26;2;16.9500007629;11.0;4;22.0;4;29.9725856781;12.5;3;26.6595385075;
27;2;16.9500007629;11.0;5;22.0;4;29.9957237244;12.5;2;26.6983793974;
28;2;16.9500007629;11.0;6;22.0;4;30.01902771;12.5;2;26.7374696732;
29;2;16.9500007629;11.0;6;22.0;4;30.0424823761;12.5;2;26.7767804861;
30;2;16.9500007629;11.0;6;22.0;4;30.0660686493;12.5;2;26.8162822723;
31;2;16.9500007629;11.0;6;22.0;4;30.0897693634;12.5;2;26.8559447527;
32;2;16.9500007629;11.0;6;22.0;4;30.1135673523;12.5;2;27.8957372904;
33;2;14.9500007629;12.0;7;22.0;4;31.1374416351;15.5;4;27.9756284952;
34;2;13.9500007629;13.0;8;22.0;4;32.1613769531;18.5;4;28.05677104;
35;2;12.9500007629;14.0;8;22.0;4;32.8340606689;21.5;4;28.1391346455;
36;2;12.0;15.0;8;22.0;4;32.883480072;24.5;4;28.2226861715;
37;2;12.0;16.0;9;22.0;4;32.9336128235;27.5;4;28.3073893785;
38;2;12.0;17.0;9;22.0;4;32.9844322205;27.5;5;28.3932044506;
39;2;12.0;18.0;10;22.0;4;33.0359230042;27.5;5;28.4800891876;
40;2;12.0;19.0;11;22.0;4;33.088054657;27.5;5;28.5679974556;
41;2;12.0;20.0;11;22.0;4;33.1407966614;27.5;5;28.6568800211;
42;2;12.0;21.0;11;22.0;5;33.1941299438;27.5;4;28.746684432;
43;2;12.0;22.0;11;22.0;5;33.2480125427;27.5;4;28.8373551369;
44;2;12.0;23.0;11;22.0;5;33.3024139404;27.5;4;28.9288332462;
45;2;12.0;24.0;12;22.0;5;32.4231300354;28.2784748077;5;29.0210568905;
46;2;12.0;25.0;12;22.0;5;32.4463005066;28.3052787781;5;29.1139606237;
47;2;12.0;26.0;13;22.0;5;32.469291687;28.332572937;5;29.2074763775;
48;2;12.0;27.0;13;22.0;5;32.4920806885;28.3603382111;6;29.3015332222;
49;2;12.0;28.0;14;22.0;5;32.5146598816;28.3885498047;6;29.3960572481;
50;2;12.0;29.0;14;22.0;5;32.5370101929;28.4171886444;6;30.4909719229;
51;2;12.0;30.0;14;22.0;6;34.1591148376;29.9462223053;5;32.4300332069;
52;2;13.0;28.0;13;22.0;6;35.6645584106;31.384552002;5;34.246462822;
53;3;12.0;29.0;12;30.5;6;37.0586128235;33.7316474915;6;34.9989804029;
54;3;13.0;30.0;12;30.8400001526;7;38.3627929688;36.0054206848;6;35.4980900288;
55;3;15.0;28.0;12;31.1635437012;7;38.5081138611;38.1483688354;8;35.8278129101;
56;3;14.0;29.0;12;31.4692811966;7;38.5448913574;39.2023773193;8;36.1687078476;
57;3;15.0;30.0;12;31.7562685013;7;38.5813941956;40.2576293945;8;36.5207723379;
58;3;17.0;28.0;13;32.0239543915;7;38.6175727844;41.0428848267;8;36.88395226;
59;3;19.0;28.0;13;32.272151947;7;36.7999992371;43.1003341675;8;37.2581369877;
60;4;21.0;28.0;13;72.5009994507;7;36.7999992371;45.1587142944;8;38.6431540251;
61;4;20.7254486084;31.0;13;75.5109138489;7;38.7999992371;46.7288513184;9;39.0987634659;
62;4;20.8199119568;34.0;14;77.5001411438;7;38.7999992371;50.7288513184;12;39.5676175356;
63;5;21.9061431885;37.0;14;78.7457199097;7;38.7999992371;54.3382453918;12;40.0493963957;
64;5;22.9845180511;39.0;14;79.2343597412;7;38.7999992371;56.7791786194;12;40.543692112;
65;5;24.0554618835;41.0;14;79.3765459061;8;38.7999992371;58.6310539246;11;41.0500036478;
66;5;25.1194458008;42.0;17;79.5;8;39.7999992371;57.6702728271;12;41.5677336454;
67;5;26.1749992371;43.0;17;79.5;8;40.7999992371;57.8161392212;13;42.0961856842;
68;5;27.1749992371;44.0;18;79.5;8;41.0978355408;57.96616745;13;42.6345642805;
