Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;4;17.0;1;10.0;10.0;5;20.0;
6;1;8.55000019073;8.5;4;17.0;1;11.0;10.0;5;20.0;
7;1;8.82499980927;8.5;4;17.0;1;12.0;10.0;5;20.0;
8;1;8.82499980927;8.5;4;17.0;1;13.0;10.0;5;20.3999996185;
9;1;8.82499980927;8.5;4;17.3400001526;2;14.0;10.5;4;21.7264003754;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;14.7768793106;10.3632001877;4;22.8594274521;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;15.2867431641;10.9097137451;4;23.8127875328;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;15.7157554626;11.3658018112;4;24.5981152058;
13;2;9.22696018219;9.79324531555;4;20.5780620575;2;18.3052749634;11.7372808456;4;25.2345055342;
14;2;11.2456893921;9.78903102875;4;21.3555105925;2;20.3052749634;12.0336990356;4;25.7443674803;
15;2;13.2456893921;10.1240053177;4;22.0305986404;2;21.3640708923;12.2662630081;4;26.1502821445;
16;2;15.0206890106;10.8927631378;4;22.6161907911;2;22.3847293854;12.446267128;4;26.3048160076;
17;2;16.0206890106;11.172662735;4;23.1265428066;2;23.4059104919;12.5;4;26.3530313969;
18;2;17.3570919037;10.8157100677;4;23.5759092569;2;24.4276065826;12.5;5;26.4023760557;
19;2;18.0206890106;11.6231098175;4;23.8149644136;2;25.4498119354;12.5;5;26.4528282881;
20;2;18.9500007629;11.725985527;4;23.9952818155;2;25.9037723541;12.5;5;26.5043625832;
21;2;18.9500007629;11.0;4;24.1899158955;2;25.9269638062;12.5;4;26.5569496155;
22;2;18.9500007629;12.0;4;24.399273634;2;25.9506263733;12.5;4;26.6105561256;
23;2;18.9500007629;12.1996364594;4;24.6236231327;2;25.9747505188;12.5;4;26.6651450396;
24;2;18.9500007629;12.3118114471;4;24.8630647659;2;25.9993152618;12.5;4;26.72067523;
25;2;17.5941905975;12.0;4;25.1175034046;2;26.0243034363;12.5;4;26.7771017551;
26;2;16.6514396667;13.0;5;25.3866217136;2;25.25;13.5;4;26.8343759775;
27;3;15.7119903564;14.0;4;25.6698577404;2;26.0754699707;12.5;4;26.8924454451;
28;3;14.825717926;15.0;4;25.9663875103;2;25.25;13.5;4;26.9512542486;
29;3;14.0;17.0;4;26.2751159668;2;25.25;13.8658781052;4;27.0107431412;
30;3;14.0;19.0;4;26.5946760178;2;24.1548347473;13.5;4;27.0708494186;
31;3;14.0;20.2973384857;4;26.9234399796;2;23.1818828583;14.5;4;27.1315076351;
32;3;15.0;19.2973384857;4;27.2595415115;3;22.2091789246;15.5;3;27.1926498413;
33;3;15.1833972931;20.0;4;27.6009097099;3;21.2366924286;16.5;4;27.2542052269;
34;3;14.0;22.0;4;27.9453148842;3;20.2643928528;17.5;4;27.3161010742;
35;3;14.0;24.0;4;28.2904214859;3;19.2922458649;18.5;5;27.3782629967;
36;3;14.0;26.0;5;28.633852005;3;18.3202190399;19.5;5;27.4406147003;
37;3;14.0;28.0;5;28.9732499123;3;17.3482761383;20.5;5;27.5030794144;
38;3;14.0;30.0;5;29.3063445091;3;16.3763847351;21.5;5;27.5655794144;
39;3;14.0;32.0;5;29.6310133934;4;16.404510498;23.2000007629;4;28.628036499;
40;3;14.0;33.8679122925;5;29.9453339577;4;17.1826171875;23.5;5;29.7603725195;
41;3;14.0;35.1507987976;6;30.2476272583;4;19.2106666565;24.5;5;31.3173723221;
42;3;14.0;36.4228630066;6;30.5364894867;4;20.0;26.5;5;32.623693943;
43;3;14.0;37.6828422546;6;30.8108100891;4;21.5342025757;28.5;5;33.7139620781;
44;3;15.0;35.9297294617;8;31.069776535;4;22.5812835693;30.9937877655;5;34.6294896603;
45;4;15.0;38.0628013611;8;32.3128671646;4;23.0;34.2754020691;5;35.4108179808;
46;4;17.0;37.0628013611;9;32.6148340702;4;25.6862182617;34.4822807312;6;35.8290610313;
47;4;17.2418746948;35.1627998352;11;32.9054987431;4;27.3613510132;34.5;6;36.2269750834;
48;4;16.2598342896;37.1627998352;12;33.185269475;4;28.4947299957;34.5;7;36.6397809982;
49;4;17.0;36.9510650635;12;33.4547276497;5;29.632648468;34.5;6;45.5671594143;
50;4;17.0;36.1477470398;13;33.71459198;6;31.7749576569;35.5;5;46.3486814499;
51;4;17.0;35.2335510254;14;33.9656784534;6;33.9214782715;36.5;5;47.1273443699;
52;4;17.0;32.9510650635;14;34.2088660002;6;35.0719833374;37.5;7;47.9011306763;
53;4;17.0;31.9510650635;15;34.4450637102;6;37.2262229919;38.5;8;48.8576843739;
54;4;18.0;31.9510650635;17;34.6121526957;6;38.4338874817;39.5;9;49.802025795;
55;4;19.0;32.9510650635;17;34.7357594967;6;39.5946426392;39.5;9;50.7300322056;
56;4;20.0;33.9510650635;17;34.8651165962;6;37.3060379028;41.5;11;50.6416563988;
57;4;20.9500007629;34.9510650635;15;35.0001642704;6;37.260433197;43.5;12;51.9452719688;
58;4;20.9500007629;35.9510650635;16;35.1407959461;6;38.3286895752;42.5;12;51.7841057777;
59;4;20.9500007629;36.9510650635;16;35.2868545055;6;37.2808189392;44.5;13;51.5663905144;
60;4;20.9500007629;36.9510650635;16;35.4381308556;6;36.2808189392;45.5;13;51.4606711864;
61;4;20.9500007629;36.6749992371;15;35.5943615437;6;36.7582359314;47.5;13;54.1079900265;
62;5;20.9500007629;35.6749992371;14;35.755228281;6;36.0499992371;47.5;14;56.4018843174;
63;5;20.9500007629;35.6749992371;14;35.9203586578;6;38.0499992371;47.5;15;58.395131588;
64;5;20.9500007629;35.6749992371;15;36.0893273354;6;36.8813285828;49.5;16;60.1462926865;
65;5;20.9500007629;35.6749992371;16;36.2616591454;6;36.1529350281;49.5;17;61.5548052788;
66;6;20.9500007629;35.6749992371;15;36.4368326664;6;36.9100875854;50.5;19;62.6995654106;
67;6;20.9500007629;35.6749992371;15;36.6142861843;6;36.1261940002;50.5;19;63.8170304298;
68;6;20.9500007629;35.6749992371;15;36.7934236526;6;34.317237854;53.5;20;64.9037737846;
69;6;20.9500007629;35.6749992371;15;37.9736218452;6;34.4852676392;53.5;21;65.9564504623;
70;6;21.9500007629;36.6749992371;12;38.1742396355;6;32.6323814392;56.5;21;66.8488984108;
71;6;22.9500007629;37.6749992371;14;38.3748226166;6;32.5999984741;59.5;22;67.7002277374;
72;6;23.1840438843;38.6749992371;14;38.5747138262;7;32.5999984741;62.5;21;83.0252690315;
73;6;23.1886310577;39.6749992371;14;38.7732647657;7;34.5999984741;63.5;20;84.472345829;
74;6;23.1932601929;40.6749992371;15;38.9698450565;7;34.5999984741;67.5;21;85.8159308434;
75;6;23.197927475;40.6749992371;15;39.1638520956;7;35.5999984741;71.5;21;87.0534152985;
76;6;23.2026329041;40.6749992371;16;39.3547167778;7;36.5999984741;75.1519927979;21;88.1853222847;
