Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;6;20.0;
6;1;8.55000019073;8.5;5;17.0;1;11.0;10.0;6;20.0;
7;1;8.82499980927;8.5;5;17.0;2;12.0;10.3000001907;5;21.0;
8;1;8.82499980927;8.5;5;17.0;2;13.0;10.0;5;21.5299996138;
9;2;8.82499980927;8.89999961853;4;18.3400001526;2;14.0;10.1999998093;5;22.8178313971;
10;2;9.12650108337;8.67000007629;4;18.6828438044;2;14.6940803528;10.7712001801;5;24.8403574228;
11;2;9.20363998413;8.81392192841;4;18.9821708202;2;15.5139665604;11.682185173;4;26.6198629141;
12;2;9.27098941803;8.93486309052;4;19.9811184406;2;16.2116355896;12.4573717117;4;28.1476380825;
13;2;9.49575138092;9.39324569702;5;20.8599610329;2;18.5139656067;13.0908613205;4;29.442886591;
14;2;11.3091163635;9.78903102875;5;21.6224384308;2;20.5139656067;13.5907068253;4;30.5423266888;
15;2;13.3091163635;10.1240053177;5;22.2775965929;2;21.5139656067;13.9737730026;4;31.4897208214;
16;2;15.3091163635;10.4026165009;5;22.837695837;2;22.5139656067;14.2605781555;4;32.3280365467;
17;2;16.0206890106;11.261264801;5;23.3163695335;2;23.5139656067;14.4714698792;5;32.8459744453;
18;2;17.3998031616;10.8157100677;5;23.7272430658;2;25.5139656067;14.5;5;33.3518748283;
19;2;18.4256401062;10.9637317657;5;23.9203687906;2;27.4723091125;14.5;5;33.5023059845;
20;2;19.3820838928;11.0;5;24.0467219353;2;28.7200031281;14.3000001907;5;33.7353711128;
21;2;18.9500007629;11.8186883926;5;24.1788024902;2;29.1809177399;14.1199998856;5;34.0435938835;
22;2;18.9500007629;12.0894012451;5;24.3165287971;2;29.3196163177;13.9580001831;6;34.4182114601;
23;2;18.9500007629;12.1582641602;5;24.4597706795;4;29.4881954193;13.8122005463;4;34.8491606712;
24;2;18.9500007629;12.2298851013;5;24.6083464622;4;27.370098114;14.6809806824;4;35.3252067566;
25;2;18.9500007629;12.3041734695;5;24.7620213032;4;26.2638092041;15.5628824234;4;35.834227562;
26;2;18.9500007629;12.3810110092;5;24.9205055237;4;25.2638092041;14.5628824234;4;36.3636360168;
27;2;18.9500007629;12.4602527618;5;25.0834550858;4;25.2638092041;15.5628824234;4;36.9009122849;
28;2;17.6437778473;12.0;5;25.2504718304;4;24.2638092041;14.5628824234;4;37.434173584;
29;2;15.9500007629;14.0;13;25.4211063385;4;23.2638092041;14.5628824234;4;37.9527139664;
30;2;15.7197494507;14.0;13;25.5948607922;4;23.2065944672;14.1276216507;5;38.4474515915;
31;2;14.8088436127;15.0;12;25.7711937428;4;24.2065944672;15.0648593903;5;38.9112281799;
32;2;14.8485183716;16.0;13;25.9495260715;4;23.2065944672;14.0648593903;5;39.3389387131;
33;2;14.8886432648;17.0;14;26.1292481422;4;23.2065944672;15.0648593903;5;39.7274866104;
34;2;14.9290809631;18.0;14;26.3097271919;4;22.2065944672;14.0648593903;5;40.0756053925;
35;2;14.9696884155;19.0;14;26.490316391;4;21.2065944672;14.0648593903;5;40.3835821152;
36;2;15.0103206635;20.0;14;26.670363903;4;21.2065944672;13.8335428238;5;40.6529245377;
37;2;15.0508317947;21.0;14;26.8492217064;4;20.2065944672;13.8335428238;5;41.8860282898;
38;2;15.0910749435;22.0;14;27.0262560844;4;23.2065944672;16.8335418701;5;42.1958602667;
39;2;15.1309070587;23.0;14;27.2008552551;4;23.2065944672;19.8335418701;5;44.1535627842;
40;2;15.1701927185;24.0;14;27.3724389076;4;24.2065944672;22.8335418701;6;45.7868577242;
41;2;15.2087993622;25.0;14;27.5404653549;4;26.2065944672;25.8335418701;7;47.1363899708;
42;2;15.2466049194;26.0;15;27.7044372559;4;26.2065944672;28.8335418701;7;48.2491314411;
43;2;14.0;28.0;14;27.8639082909;5;27.2065944672;30.3581809998;8;49.0862482786;
44;2;14.0;30.0;15;28.0184864998;5;29.2065944672;29.5;9;49.5929248333;
45;3;14.0;32.0;7;28.1678361893;5;31.0499992371;29.5;11;50.0610249043;
46;3;14.0;34.0;8;28.3116803169;5;32.0499992371;29.5;12;50.4455661774;
47;3;15.0;33.0;9;28.4498000145;5;33.0499992371;29.5;13;50.67922616;
48;3;14.0;34.8048210144;9;28.5820336342;5;34.0499992371;29.5;13;50.9289507866;
49;3;14.0;35.923828125;11;28.7082748413;5;35.0499992371;29.5;13;51.1946372986;
50;3;15.0;34.0374488831;13;28.8284687996;5;36.0499992371;29.5;12;51.4759366512;
51;3;14.0;35.1456222534;13;28.9426088333;6;37.0499992371;29.5;10;70.0222277641;
52;3;14.0;36.2483482361;14;29.0507326126;6;39.5999984741;31.5;10;71.2650974989;
53;3;15.0;34.3456573486;15;29.1529164314;6;41.5999984741;33.5;12;72.411888957;
54;3;14.0;35.437625885;15;29.2492723465;6;42.1148681641;35.5;12;74.0298323631;
55;3;15.0;34.437625885;15;29.3399410248;6;41.5999984741;37.5;13;75.4969273806;
56;3;16.0;34.4376220703;15;29.4250888824;6;42.1874504089;39.5;14;76.8104186058;
57;3;17.0;34.4376220703;16;29.5;7;42.2267799377;40.5;13;77.9777520895;
58;3;18.0;34.4376220703;16;29.5;7;41.5999984741;41.5;14;81.4548131227;
59;3;18.9500007629;34.4376220703;16;29.5;7;42.3785018921;44.0800018311;14;84.3230443001;
60;3;18.9500007629;33.75;18;29.5;7;43.7638587952;44.5082702637;15;86.6722494364;
61;3;18.9500007629;32.75;18;29.5;7;44.2818641663;45.8158721924;17;88.5335137844;
62;3;18.9500007629;31.75;17;29.5;8;44.6602935791;47.0;16;89.8096256256;
63;3;18.9500007629;30.75;18;29.5;8;44.842956543;48.0;16;91.668718338;
64;3;18.9500007629;29.75;20;29.5;8;44.8500022888;51.0;16;92.3004496098;
65;3;18.9500007629;28.75;20;29.5;8;46.8500022888;52.0;17;92.9288167953;
66;4;18.9500007629;27.75;19;29.5;9;47.0876197815;54.0;15;93.5513898134;
67;4;18.9500007629;27.75;20;29.5;9;47.1773452759;56.0;15;94.1660983562;
68;4;18.9500007629;27.75;20;29.5;9;45.2709274292;59.0;16;95.7712379694;
69;4;18.9500007629;27.75;20;29.5;9;43.8500022888;63.0;18;96.4454569817;
70;4;18.9500007629;27.75;20;29.5;9;43.8500022888;67.0;18;97.1564632654;
71;4;18.9500007629;27.75;20;29.5;9;42.8500022888;70.6792755127;19;97.8685621023;
72;4;18.9500007629;27.75;21;30.5;9;41.8500022888;73.8446502686;20;98.5823249817;
73;4;19.9500007629;28.75;21;30.5399999619;9;40.8500022888;77.0135192871;20;99.2984899282;
74;4;20.9500007629;29.75;21;30.5811839104;9;39.8500022888;80.0261535645;20;100.017889261;
75;4;20.9500007629;30.75;20;30.6235535145;9;39.8500022888;79.294921875;23;100.741368771;
76;4;20.9500007629;31.75;20;30.6671074629;9;39.4000015259;79.3991012573;22;101.469715357;
