Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;2;8.0;10.1999998093;4;21.0;
5;1;8.0;10.0;6;20.0;2;8.14999961853;10.0;4;21.0900000334;
6;1;9.0;10.0;6;20.0;2;9.24524974823;10.0;4;21.1871190071;
7;1;9.5;10.0;6;20.0;2;9.76710128784;10.0;4;21.2917383909;
8;2;9.5;10.3000001907;5;21.3999996185;2;9.79064083099;10.0;4;21.817143321;
9;2;9.81500053406;10.1999998093;5;21.7664003372;2;9.90885734558;10.1999998093;4;22.2793469429;
10;2;9.89743995667;10.3632001877;5;22.0715556145;2;10.0128526688;10.3632001877;4;22.6900259256;
11;2;9.96609973907;10.4951858521;5;23.1762773991;2;10.1052560806;10.4951858521;4;23.9506295919;
12;2;10.2146625519;11.0209560394;5;24.1039098501;2;10.3888921738;11.0209560394;5;25.0538563728;
13;2;11.9904842377;11.4571752548;5;24.8681889772;2;12.2042226791;11.4571752548;5;26.0146684647;
14;2;13.9904842377;11.8107032776;5;25.4893084764;2;14.2042226791;11.8107032776;5;26.8543052673;
15;2;15.7228336334;12.4834451675;5;25.9899599552;2;16.2042217255;12.0916318893;5;27.5962526798;
16;2;16.7228336334;12.7215099335;5;26.3924539089;2;17.3919029236;12.3113050461;4;28.2632865906;
17;2;18.0447406769;12.4808797836;5;26.4960671663;2;18.4656772614;12.4808797836;4;28.6547400951;
18;2;18.7228336334;12.9488201141;5;26.5634490252;2;19.5451507568;12.5;4;29.0328326225;
