Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;6;20.0;
7;1;12.0;10.0;6;20.0;1;9.5;10.0;6;20.0;
8;1;13.0;10.0;5;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;2;15.0;10.5;4;21.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;16.3268795013;10.3632001877;4;22.8594274521;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;17.8187427521;10.9097137451;4;23.8127875328;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;18.7157554626;11.3658018112;4;24.5981152058;2;9.95943069458;11.3209562302;4;23.9143505096;
13;2;21.3052749634;11.7372808456;4;25.2345055342;2;11.9478340149;11.4571752548;4;24.6514065266;
14;2;23.3052749634;12.0336990356;4;25.7443674803;2;13.9478340149;11.8107032776;4;25.2438547611;
15;2;24.3640708923;12.2662630081;4;26.1502821445;2;15.9478340149;12.0916318893;4;25.7143762112;
16;2;25.3847293854;12.446267128;4;26.3048160076;2;16.9684810638;12.3113050461;4;26.0852768421;
17;2;26.4059104919;12.5;4;26.3530313969;2;17.9756240845;12.4808797836;4;26.1558350325;
18;2;27.4276065826;12.5;5;26.4023760557;2;18.9828968048;12.5;5;26.1887089014;
19;2;28.4498119354;12.5;5;26.4528282881;2;19.8924598694;12.5;5;26.2221269608;
20;2;28.9037723541;12.5;5;26.5043625832;2;19.8999786377;12.5;5;26.2560760975;
21;2;28.9269638062;12.5;5;26.5569496155;2;19.907617569;12.5;5;26.2905418873;
22;2;28.9506263733;12.5;5;26.6105561256;2;19.9153709412;12.5;6;26.3255085945;
23;2;28.9747505188;12.5;6;26.6651450396;2;19.9232387543;12.5;7;26.3609591722;
24;3;28.9993152618;12.5;5;26.72067523;2;19.625;13.0443840027;7;26.3968753815;
25;3;29.0243034363;12.5;5;26.7771017551;2;19.625;13.0587501526;7;26.4332377911;
26;3;29.0496959686;12.5;5;26.8343759775;2;19.947479248;12.5;7;26.4700255394;
27;3;28.25;13.5;5;26.8924454451;2;19.625;13.0880098343;8;26.5072168112;
28;3;29.101600647;12.5;5;26.9512542486;2;19.625;13.1028871536;8;26.5447884798;
29;3;28.25;13.5;5;27.0107431412;2;19.625;13.1179151535;8;26.5827163458;
30;3;27.1548347473;13.5;5;27.0708494186;2;17.9811115265;13.5;8;26.6209751368;
31;3;26.1818809509;14.5;5;27.1315076351;3;16.9897193909;14.5;7;26.6595385075;
32;3;25.2091789246;15.5;5;28.1926498413;3;15.9983959198;15.5;7;26.6983793974;
