Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;12.0;6;20.0;
4;2;9.0;11.6999998093;5;24.0;1;9.0;11.0;6;20.0;
5;2;9.80000019073;11.5;5;24.0750000477;1;10.0;10.0;6;20.0;
6;2;10.9225006104;11.5;5;24.1548187733;2;11.0;10.3000001907;5;21.0;
7;2;11.9464464188;11.5;5;24.2396422625;2;12.4499998093;10.0;5;21.0900000334;
8;2;12.2718925476;11.5;5;24.8020402193;2;13.4905004501;10.0;5;21.5980186462;
9;2;12.440612793;11.7299995422;5;25.2728075981;2;14.5391082764;10.1999998093;5;22.0418490171;
10;2;12.5818424225;11.9106416702;5;25.5683498383;2;14.9188308716;10.3632001877;5;23.3017349243;
11;2;12.6705055237;12.0;5;26.9241136312;2;15.4857807159;10.9097137451;5;24.3994617462;
12;2;14.6636190414;12.6000003815;5;28.0502605438;2;15.9797582626;11.3658018112;5;25.3481024504;
13;2;16.6636199951;13.0788002014;5;28.9755983353;2;18.569278717;11.7372808456;5;26.1681330204;
14;2;18.6636199951;13.4505519867;5;29.7357566357;2;20.569278717;12.0336990356;5;26.8832330704;
15;2;19.8273925781;13.7328653336;5;30.3666775227;2;21.8765602112;12.2662630081;5;27.5170819759;
16;2;20.8902492523;13.943564415;5;30.7032151222;2;22.9997901917;12.446267128;5;27.923101902;
17;2;21.9573497772;14.0;6;30.9410111904;2;24.1341381073;12.5;5;28.2468910217;
18;2;23.0286884308;14.0;6;31.1927320957;2;25.2798442841;12.5;6;28.5960328579;
19;2;23.3578186035;14.0;5;31.457960844;2;26.436958313;12.5;6;28.9701628685;
20;2;23.4373874664;14.0;5;31.736051321;2;27.03657341;12.5;6;29.3683638573;
21;2;22.3999996185;15.0;5;32.0261163712;2;27.215763092;12.5;6;29.7891087532;
22;2;23.3999996185;14.0;5;32.3270235062;2;27.4050979614;12.5;6;30.2302284241;
23;2;23.6981067657;14.0;7;32.6373996735;2;27.603603363;12.5;7;30.6889076233;
24;3;23.7912197113;14.0;5;32.9556460381;3;27.8100090027;12.5;4;31.1617178917;
25;3;22.3999996185;15.0;5;33.2799611092;4;25.8100090027;13.5;3;31.6446905136;
26;3;21.3999996185;15.0;6;33.6083769798;4;25.25;14.5;3;32.1334280968;
27;3;21.0825119019;16.0;7;33.9388012886;4;24.25;13.5;3;32.6232500076;
28;3;20.181640625;17.0;7;34.2690696716;4;24.25;14.5;2;33.1093654633;
29;3;19.2807197571;18.0;8;34.5970001221;4;26.25;12.5;2;33.587059021;
30;3;18.3791007996;19.0;8;34.9204511642;4;25.1141777039;13.5;2;34.0518712997;
31;3;17.4761352539;20.0;9;35.2373766899;4;24.3233413696;14.5;2;34.4997692108;
32;3;16.5712127686;21.0;10;35.5458788872;4;23.3233413696;13.5;1;34.927280426;
33;3;15.5712127686;20.0;10;35.8442521095;4;22.3233413696;13.5;2;35.3315906525;
34;3;16.3999996185;20.0;11;36.1310186386;4;21.3233413696;13.5;2;35.7105960846;
35;3;17.3999996185;20.0;11;36.4049510956;4;20.3233413696;13.5;2;36.0629110336;
36;3;16.3999996185;19.0;11;36.6650886536;4;19.3233413696;13.5;2;36.3878383636;
37;3;16.3999996185;18.0;11;36.910736084;4;18.3233413696;13.5;3;36.6853075027;
38;3;17.3999996185;18.0;11;37.1414585114;4;18.25;13.5;4;36.955786705;
39;4;18.3999996185;18.0;6;47.3570632935;5;19.25;15.5;4;37.2001886368;
40;4;21.3999996185;17.0;7;47.9575786591;5;20.25;17.5;5;37.4197692871;
41;4;24.3999996185;17.0;6;48.5176267624;5;21.25;19.5;5;37.6160306931;
42;4;23.3999996185;19.0;6;49.0363321304;5;23.25;21.5;7;37.7906322479;
43;4;25.3999996185;18.0;6;49.5136318207;5;23.25;23.5;6;37.945318222;
44;4;27.3999996185;21.0;6;49.9501781464;5;24.25;24.5;6;38.0;
45;4;29.3999996185;23.0;6;50.3472242355;5;26.25;22.5;7;38.0;
46;4;30.5040054321;25.0;6;50.7065000534;5;27.25;22.5;6;38.0;
47;4;31.2119522095;27.0;6;50.9558610916;5;28.25;22.5;6;38.0;
48;4;31.2867565155;29.0;6;51.1481971741;5;29.25;22.5;6;38.0;
49;4;31.3444576263;29.0;5;51.3191757202;5;30.25;22.5;5;38.0;
50;4;31.3957519531;29.0;5;51.4705476761;5;29.1000003815;23.5;6;38.0;
51;4;31.4411640167;29.0;5;51.5;5;28.1000003815;24.5;6;38.0;
52;4;31.4499988556;29.0;6;51.5;5;27.1000003815;25.5;6;38.0;
53;5;31.4499988556;29.0;7;51.5;5;26.1000003815;26.5;6;38.0;
54;5;31.4499988556;29.0;6;51.5;5;25.1000003815;27.5;5;38.0;
55;6;32.4499969482;30.0;5;52.5;5;24.1000003815;28.5;5;39.0;
56;6;33.4499969482;31.0;6;52.7000000477;5;26.1000003815;27.5;6;39.0199999809;
57;6;33.8099975586;32.0;7;52.9376000166;6;28.1000003815;27.5;5;39.0401959419;
58;6;31.4499988556;34.0;7;53.2188290358;6;29.1000003815;27.5;5;39.0605818033;
59;6;28.9656467438;37.0;8;53.5502393246;6;30.1000003815;27.5;7;39.0811508894;
60;6;26.5499992371;40.0;8;53.938754797;6;31.1000003815;27.5;7;39.1018965244;
61;6;27.1316261292;41.0;8;54.3914179802;6;32.0999984741;28.0509490967;8;39.1228116751;
62;6;26.3999996185;44.0;10;54.9150128365;6;33.0999984741;28.0614051819;9;39.1438889503;
63;6;27.3999996185;45.0;9;55.5155425072;6;33.0999984741;28.0719451904;9;40.5551211834;
64;6;27.3999996185;45.0;9;58.2806820869;6;31.5500011444;29.5825614929;10;42.7059791088;
65;6;28.8199996948;44.7000007629;11;60.7891430855;7;33.9010009766;29.9832496643;9;43.6925970316;
66;6;27.1375198364;47.2291984558;12;63.1050944328;7;33.1685333252;32.291267395;6;44.4961434603;
67;7;29.369758606;43.6162643433;11;65.2904052734;7;34.3687667847;32.5245742798;7;45.0044914484;
68;7;29.5353660583;43.8922767639;10;67.1913890839;7;35.4499969482;33.6257171631;8;45.3045910597;
69;7;27.6000003815;46.0;11;68.8312654495;7;36.4499969482;34.6366577148;8;45.5800482035;
70;7;29.6000003815;43.0;11;70.5185375214;7;37.6209487915;35.0;8;45.7230944633;
71;7;29.6000003815;44.0;10;72.1708278656;7;37.6464080811;36.0;9;45.8239005804;
72;7;30.6000003815;45.0;10;73.7054109573;7;37.6513977051;37.0;10;46.9280147552;
73;7;31.2000007629;44.0;11;75.1651649475;7;38.6564025879;39.0;9;47.1154288054;
74;8;30.2000007629;45.0;11;76.5100269318;7;39.6614227295;41.0;10;47.3116546869;
75;9;31.2000007629;47.0;10;78.7113227844;8;39.9286994934;42.8698272705;10;47.5168924332;
76;9;31.2000007629;48.0;11;79.7287918329;8;37.3499984741;44.9155807495;10;47.7313114405;
77;9;30.2000007629;51.0;9;80.5875403285;8;36.3499984741;47.6885681152;13;47.9550446272;
78;10;29.6000003815;54.0;8;81.2953004837;9;35.3499984741;49.4775238037;11;63.1881825924;
79;10;29.6000003815;57.0;8;81.8667780757;9;35.3499984741;51.5940895081;11;64.4807676077;
80;10;30.6000003815;60.0;7;82.3202757239;9;35.3499984741;53.715385437;12;65.6877650023;
81;10;30.6000003815;60.0;7;82.674970746;9;35.5999984741;55.8413925171;12;66.7985563278;
82;10;29.6000003815;63.0;7;84.8695742488;9;36.5999984741;57.9720878601;12;67.809348464;
83;10;32.5999984741;65.0;8;84.9901168942;9;37.5999984741;60.1073989868;11;68.7222150564;
84;10;33.5999984741;70.0;8;85.1373384595;9;38.5999984741;61.247215271;12;69.5436267853;
85;10;34.0013961792;75.0;9;85.3136131763;9;37.5999984741;63.3914070129;13;70.2828587294;
86;11;35.0632591248;80.0;9;85.5214783549;9;37.5999984741;65.5397796631;14;70.9505339861;
87;11;37.1337013245;82.0;10;85.7635647655;9;37.5999984741;67.6921234131;13;71.5574771166;
88;11;37.2136001587;86.0;12;86.0425013304;10;37.5999984741;69.84815979;14;72.0151946545;
89;11;38.3038291931;90.0;13;86.3607898355;10;37.5999984741;72.007598877;15;72.3401517868;
90;11;39.5999984741;92.0;13;86.7206473947;10;37.0499992371;74.1700820923;15;72.6704200506;
91;11;39.5999984741;96.5307769775;14;87.1238179803;10;37.0499992371;73.3352127075;16;73.0051474571;
92;11;41.5999984741;99.0;15;88.5713582039;10;35.0499992371;75.5025787354;16;73.3434143066;
93;11;43.982749939;101.0;16;89.0634074807;10;34.0499992371;79.5403900146;16;73.6842418909;
94;11;42.8000030518;107.0;16;89.598958075;10;33.0499992371;81.778968811;17;75.0266036987;
95;12;42.8000030518;113.0;16;100.175654054;10;33.0499992371;85.0186157227;17;75.4594382048;
96;12;43.8000030518;111.790855408;16;101.289641559;10;33.4500007629;88.258605957;17;76.2162767649;
97;13;41.8000030518;117.102546692;17;103.038008034;10;33.4500007629;91.720413208;18;76.9989655018;
98;14;42.8000030518;119.790855408;21;104.731413364;11;34.4500007629;92.19506073;16;77.8042374849;
99;14;43.7999992371;121.790855408;21;106.356974185;11;33.4500007629;95.6800079346;18;78.6283593178;
100;14;43.7999992371;123.790855408;21;107.903361976;12;33.4500007629;98.1724014282;17;79.467207551;
101;14;44.7999992371;124.790855408;20;109.36105454;12;34.4500007629;97.669128418;16;81.3163739443;
102;15;44.7999992371;125.790855408;22;110.722541988;12;34.4500007629;101.166900635;17;83.2012834549;
103;15;44.7999992371;126.337135315;24;112.94128871;12;37.4500007629;102.662368774;17;84.1179151535;
104;15;45.2889213562;127.334999084;24;115.03279525;12;38.4500007629;104.152175903;19;87.3048411608;
105;15;47.4563446045;126.542236328;24;116.139359057;12;39.4500007629;107.348014832;19;89.6584011316;
106;15;47.6033248901;128.540512085;26;117.176534593;12;41.4500007629;111.591758728;20;93.10592556;
107;15;48.1313285828;128.538955688;27;118.145350695;12;44.4500007629;113.864334106;22;95.2086280584;
108;15;47.2420272827;130.537567139;28;120.048728764;13;45.4500007629;119.144104004;21;98.8048073053;
109;16;49.3371696472;130.536315918;27;120.917488277;13;47.4500007629;125.408332825;21;101.471616626;
110;16;56.9072265625;134.935180664;28;123.218607306;15;50.4500007629;127.634963989;20;104.124936223;
111;16;62.0247001648;134.543670654;28;125.552580476;16;51.4500007629;130.121398926;20;106.742007852;
112;16;62.1722373962;139.807312012;29;127.89703691;16;51.4500007629;135.589874268;20;109.305338621;
113;16;63.4644737244;142.100799561;30;130.239655435;16;53.4500007629;138.02305603;21;111.802893519;
114;16;64.7636184692;141.426300049;29;133.578783154;16;53.4500007629;142.223022461;22;115.227555275;
115;16;64.9742126465;144.785675049;29;136.58188951;16;55.4500007629;146.904510498;23;117.66610992;
116;16;69.0881195068;144.835540771;30;139.705416083;16;58.4500007629;148.57194519;23;123.919692039;
117;16;72.3127212524;147.248641968;29;142.059566975;16;61.827999115;148.951522827;24;129.609645128;
118;16;73.6081314087;154.304122925;30;144.515573382;16;62.8448448181;157.049942017;27;134.816872597;
119;16;74.9785461426;159.362518311;32;147.080988646;16;65.9489440918;165.518615723;27;138.661892533;
120;16;76.1199264526;164.423873901;33;149.672547698;16;67.8908081055;169.029373169;28;141.791765213;
121;16;77.258354187;168.488250732;34;152.239682317;17;68.1435699463;172.912017822;29;144.409867644;
122;16;77.8878936768;171.555664062;37;154.946496606;19;68.1999969482;175.667800903;26;146.850015879;
123;16;81.0714263916;171.626159668;37;157.763001561;19;67.1999969482;180.445770264;26;149.060721755;
124;16;80.367515564;176.699707031;36;160.656447411;19;69.1999969482;178.243591309;27;151.09811759;
125;16;79.5718841553;181.776306152;37;163.593156099;19;68.1999969482;179.058609009;27;153.137136698;
126;16;79.8916549683;183.855895996;40;166.540448189;19;67.1999969482;182.887924194;26;155.172918916;
127;16;81.0542144775;187.938446045;41;169.254199982;20;70.1999969482;178.728286743;26;158.201334238;
128;16;81.2449874878;189.023864746;44;171.902199268;20;76.1999969482;173.951812744;28;160.308825254;
