Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;14.1000003815;4;23.0;1;10.8880004883;14.720000267;4;29.4400005341;
2;1;7.0;13.1000003815;6;23.0;2;11.0880002975;14.720000267;5;30.235200882;
3;1;8.0;12.1000003815;6;23.0;2;11.0470399857;14.617600441;5;30.0851204395;
4;1;9.0;11.5;6;23.0;2;11.0170240402;14.5254402161;5;29.9542908669;
5;1;9.60000038147;11.5;6;23.0;2;12.1309652328;14.4424962997;5;29.8408629894;
6;1;10.6000003815;11.5;6;23.0;2;13.1417264938;14.367846489;5;29.7431727648;
7;1;11.6000003815;11.5;6;23.0;2;13.922952652;14.3006620407;5;29.7453182936;
8;1;11.8999996185;11.5;6;23.4599990845;2;13.9235954285;14.2829961777;5;29.7517842054;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;13.925535202;14.2670965195;5;31.0132062435;
10;2;12.1463851929;12.1106414795;5;25.0;2;15.9592943192;14.8574419022;5;31.9769462347;
11;2;12.5000009537;12.0;5;26.2900007963;2;17.9592933655;15.2967939377;5;32.7022358179;
12;2;14.4733848572;12.6000003815;5;27.3447194099;2;19.9592933655;15.6147241592;5;33.238681674;
13;2;16.4733848572;13.0788002014;5;28.1928423643;2;21.0398025513;15.8360004425;5;33.3370898962;
14;2;18.4733848572;13.4505519867;5;28.8699569702;2;22.0693244934;15.8360004425;5;33.4400408268;
15;2;19.567653656;13.7328653336;5;29.4120593071;2;23.1002101898;15.8360004425;6;33.5475369692;
16;2;20.6038646698;13.943564415;5;29.6541694403;2;24.0642604828;15.8360004425;7;33.6595526934;
17;2;21.6426353455;14.0;6;29.7922235727;2;24.0978660583;15.8360004425;7;33.7760322094;
18;2;22.6840515137;14.0;6;29.9393253326;2;24.1328086853;15.8360004425;8;33.896887064;
19;2;22.9817962646;14.0;6;30.0956480503;2;24.1690654755;15.8360004425;8;34.0219948292;
20;2;23.0286941528;14.0;6;30.261295557;3;24.2065982819;15.8360004425;8;34.1511976719;
21;3;23.0783882141;14.0;6;30.4362905025;3;24.2453594208;15.8360004425;8;34.2843008041;
22;4;22.3999996185;14.0;5;30.6205644608;3;24.2852897644;15.8360004425;9;34.4210729599;
23;4;22.3999996185;14.0;5;30.8139474392;3;24.3263225555;15.8360004425;9;34.5612461567;
24;4;23.244184494;14.0;5;31.016159296;3;24.3683738708;15.8360004425;9;34.7045166492;
25;4;23.3048477173;14.0;5;31.2268030643;3;24.4113540649;15.8360004425;10;34.8505470753;
26;4;23.3680400848;14.0;5;31.445360899;4;23.4096488953;15.8360004425;5;49.5139634609;
27;4;23.4336090088;14.0;5;31.6711919308;4;24.44972229;16.8360004425;5;50.4605250359;
28;4;22.3999996185;15.0;5;31.9035346508;4;25.4903335571;15.8360004425;5;51.3304264545;
29;4;23.3999996185;14.0;5;32.141512394;4;24.5514411926;17.8360004425;5;52.1200392246;
30;4;21.64245224;15.0;5;32.3841423988;4;24.5514411926;19.5759372711;5;53.829518795;
31;4;20.7152423859;16.0;5;32.6303496361;4;25.5514411926;21.3066749573;6;54.5827480555;
32;4;19.7891044617;17.0;5;32.8789830208;4;26.5514411926;22.4571800232;6;55.277520895;
33;4;18.8636951447;18.0;5;33.1288366318;4;27.5514411926;21.6640758514;6;55.9215197563;
34;4;17.9386501312;19.0;6;33.3786706924;4;26.5514411926;23.761932373;7;56.5229940414;
35;4;17.0136013031;20.0;6;33.6272368431;5;27.5514411926;23.8699798584;6;57.0901874304;
36;4;16.0881710052;21.0;6;33.8733024597;5;26.5514411926;24.8360004425;6;57.4633976221;
37;4;15.7619905472;22.0;6;34.1156759262;5;29.0765151978;25.8360004425;7;57.8252565861;
38;4;16.8347034454;23.5;5;35.353228569;5;30.4828205109;27.8360004425;7;58.2036218643;
39;4;17.9059677124;24.0;5;35.669916153;5;31.584980011;29.8360004425;7;58.5988137722;
40;4;18.3009757996;25.0;6;35.986099124;5;28.9754295349;33.8359985352;8;59.0109653473;
41;4;18.3958282471;26.0;6;36.3012574911;5;26.5514411926;37.8359985352;8;59.4399693012;
42;4;18.4903774261;27.0;6;36.614982605;5;27.5514411926;38.8359985352;10;59.8854286671;
43;4;19.5844955444;25.0;6;36.9269782305;5;30.0390663147;35.8359985352;10;61.3466074467;
44;4;20.6780929565;26.0;7;37.2370545864;5;32.1635856628;35.8359985352;11;61.9123886824;
45;4;21.7711181641;27.0;7;37.5451197624;5;34.2920455933;35.936000824;11;62.2586665154;
46;4;22.3422889709;28.0;8;37.8511648178;5;35.3593139648;36.8412780762;12;62.6400040388;
47;4;23.3936405182;29.0;7;38.1552491188;5;35.7090339661;37.7560348511;12;63.0528025627;
48;4;25.0465736389;30.0;7;38.4574813843;5;35.7901153564;38.679309845;12;63.4933395386;
49;4;24.0918235779;30.0;7;38.7579991817;5;36.2195777893;38.4577636719;13;63.957788825;
50;4;25.4420204163;30.0;8;39.0569479465;5;36.3391647339;38.3826980591;13;64.4422656298;
51;4;27.5895252228;29.0;8;39.3544614315;5;36.0605125427;39.3267669678;12;64.9207320213;
52;4;25.6419124603;30.0;9;39.6506440639;6;36.5863265991;38.2479095459;10;65.3704502583;
53;4;25.8420200348;30.0;9;39.9455506802;7;36.700717926;38.1869735718;6;89.8322360516;
54;4;27.7534141541;29.0;10;40.2342967987;8;33.2514801025;42.1461982727;6;91.5024359226;
55;4;28.0702877045;29.0;10;40.4369482994;8;33.2316627502;44.0754394531;6;92.935230732;
56;5;27.0999984741;30.0;10;40.6453323364;8;33.2138290405;47.4266548157;6;96.5264751911;
57;5;25.0999984741;30.0;10;40.8587543964;8;34.2434234619;50.6759414673;7;99.4835429192;
58;5;24.3999996185;31.0;11;41.0764360428;8;35.4804916382;53.0235099792;7;101.835976124;
59;5;24.3999996185;32.0;11;41.2975239754;8;36.6444244385;55.271068573;7;103.55185318;
60;5;24.3999996185;33.0;11;41.5211014748;8;37.7113189697;56.8839302063;7;105.945438385;
61;5;24.3999996185;33.5;12;41.7462024689;8;39.7754974365;59.2297592163;7;106.955282927;
62;5;24.3999996185;33.5;14;41.971827507;8;41.8367652893;61.5980072021;9;107.75775516;
63;5;24.3999996185;33.5;14;42.1969604492;9;42.8507270813;63.8377723694;8;108.595908523;
64;5;24.3999996185;33.5;14;43.4205875397;9;43.8659477234;66.0769958496;8;109.4737041;
65;5;25.3999996185;34.5;15;43.6817154884;9;45.8819198608;66.1881408691;12;110.395840406;
66;5;26.3999996185;35.5;17;43.9405727386;9;45.8982315063;69.308303833;10;111.367440224;
67;5;26.3999996185;36.5;17;44.3573930264;9;44.8692054749;73.1706085205;11;112.393632889;
68;5;26.3999996185;37.5;17;46.4234557152;9;47.4845657349;70.6178588867;11;113.438928127;
69;5;27.8199996948;37.2000007629;18;48.1336575747;9;45.9610557556;74.1152496338;10;114.474169731;
70;5;27.1375198364;39.3585472107;19;49.5427142382;9;45.9398956299;77.6639633179;14;115.585532188;
71;5;27.369758606;40.1162643433;19;50.7104574442;9;45.9208526611;76.2639007568;16;116.770309925;
72;5;28.5353660583;38.3922767639;20;51.52041924;9;49.1726799011;80.9132003784;13;118.001646996;
73;6;27.6000003815;41.2425422668;20;52.0921113491;9;49.4006958008;85.6077728271;13;119.215063095;
74;6;27.6000003815;43.283493042;20;52.6397465467;9;48.527179718;85.3666687012;15;120.478053093;
