Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;2;12.2999992371;8.625;3;18.25;1;7.0;13.0;6;20.0;
3;2;12.2999992371;8.625;3;18.2875000238;1;8.0;12.0;6;20.0;
4;2;12.3149995804;8.625;3;18.3260172606;1;8.0;11.0;6;20.0;
5;2;13.5456104279;8.625;3;18.365549922;1;8.0;10.0;6;20.0;
6;2;14.5693292618;8.625;3;18.7622488737;2;9.0;10.3000001907;5;21.0;
7;2;15.6003494263;8.79749965668;3;19.1069378853;2;9.72500038147;10.0;5;21.0900000334;
8;2;16.4641628265;8.94309806824;3;19.9549534321;2;9.74524974823;10.0;5;21.5980186462;
9;2;16.9729709625;9.3333568573;3;20.6941963434;2;9.85955429077;10.1999998093;5;22.0418490171;
10;2;17.4165172577;9.6677980423;3;21.3309605122;2;9.95941543579;10.3632001877;4;22.4332156181;
11;2;19.4165172577;9.94955635071;3;21.8749141693;2;10.0474739075;10.4951858521;4;23.6659361124;
12;2;21.4165172577;10.1834592819;3;22.3374892473;2;10.3248357773;11.0209560394;4;24.7393633127;
13;2;22.4024944305;10.3752222061;3;22.7305924892;2;12.1334619522;11.4571752548;4;25.6686143875;
14;2;23.6027469635;10.5308046341;3;23.0037845373;2;14.1334609985;11.8107032776;4;26.4751701355;
15;2;24.6536273956;10.625;3;23.0914074183;2;16.1334609985;12.0916318893;4;27.1828548908;
16;2;25.7062015533;10.625;3;23.1817946434;2;17.2988891602;12.3113050461;4;27.8148901463;
17;2;26.760433197;10.625;3;23.2748725414;2;18.3647880554;12.4808797836;4;28.1711652279;
18;2;27.816280365;10.625;3;23.3705503941;2;19.4363460541;12.5;5;28.5145654678;
19;2;28.0223312378;10.625;4;23.4687201977;2;20.4157772064;12.5;5;28.8830828667;
20;2;28.0812320709;10.625;5;23.5692565441;2;20.4986934662;12.5;5;29.2759313583;
21;3;28.1415538788;10.625;4;23.6720168591;2;20.5870838165;12.5;5;29.6917257309;
22;3;28.2032108307;10.625;4;23.7768414021;3;20.6806373596;12.5;4;30.1284441948;
23;3;28.2661056519;10.625;4;23.8835539818;3;20.7789001465;12.5;5;30.5834169388;
24;3;28.3301315308;10.625;5;23.9919629097;4;20.881269455;12.5;4;31.0533499718;
25;3;28.3951778412;10.625;5;24.1018617153;4;20.9870033264;12.5;4;31.5343885422;
26;3;28.4611167908;10.625;6;24.213031292;4;21.0952377319;12.5;5;32.0222206116;
27;3;28.5278186798;10.625;6;24.3252403736;4;21.2049999237;12.5;5;32.5122156143;
28;3;28.5951442719;10.625;6;24.4382481575;4;21.3152484894;12.5;5;32.9995918274;
29;3;28.6629486084;10.625;6;24.5518057346;4;17.625;14.5;5;33.4795999527;
30;4;28.7310829163;10.625;4;39.665658474;4;16.625;16.5;5;33.9477081299;
31;4;29.7993946075;10.625;5;40.5295481682;4;15.625;18.5;5;34.399772644;
32;4;30.867729187;10.625;5;41.3125901222;4;14.625;20.5;5;35.8321838379;
33;4;31.9359283447;10.625;5;42.013692379;4;15.0;22.5;5;36.3719710112;
34;4;33.0038414001;13.625;5;42.6351237297;4;16.0;24.5;6;36.9022983313;
35;4;34.0713119507;16.625;6;43.1816477776;4;16.2869720459;26.5;6;38.4230499268;
36;4;35.1381912231;19.625;7;43.6596531868;4;17.3234882355;28.1897277832;6;38.9648327827;
37;4;36.2043380737;22.625;7;44.0763673782;4;18.3641242981;29.4215488434;7;39.4994791746;
38;4;37.2696075439;25.625;7;44.4392228127;4;19.6478424072;28.4215488434;7;40.0287365913;
39;4;38.3338775635;25.625;8;44.6616897583;4;18.7047042847;30.4215488434;8;40.554718256;
40;4;39.3970146179;25.625;8;44.7648487091;5;18.766752243;32.421546936;8;41.0797444582;
41;4;40.0089073181;25.625;9;44.8657622337;5;18.834236145;34.1604194641;9;41.6061738729;
42;4;40.0694580078;25.625;9;44.9642734528;5;19.907365799;33.1604194641;9;42.136238575;
43;4;40.1285629272;25.625;9;45.0602431297;5;20.9862709045;33.1604194641;9;42.6718835831;
44;4;40.1861457825;25.625;10;45.153550148;5;20.0710048676;32.1604194641;11;43.1622650623;
45;5;40.2421302795;25.625;9;45.2440915108;5;19.871137619;32.0637969971;11;43.5893707275;
46;5;40.2964553833;25.625;10;45.3317832947;5;21.257610321;31.1604194641;11;45.0399566889;
