Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.3999996185;16.0;4;32.0;1;6.0;14.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;13.0;6;20.0;
3;1;11.3999996185;16.0;6;31.5391998291;1;8.0;12.0;6;20.0;
4;1;11.3078403473;15.7695999146;6;31.1244792938;1;8.0;11.0;6;20.0;
5;1;12.3078403473;15.5622396469;6;30.7512321472;1;8.0;10.0;6;20.0;
6;1;13.3078403473;15.3756160736;6;30.415309906;1;9.0;10.0;6;20.0;
7;1;14.1245927811;15.207654953;6;30.1985778809;1;9.5;10.0;6;20.0;
8;1;14.0595731735;15.0992889404;6;30.0035209656;1;9.5;10.0;6;20.3999996185;
9;1;14.0010566711;15.0017604828;6;30.8041591644;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;16.0595741272;15.4020795822;6;31.3795318604;1;9.66343975067;10.3632001877;5;20.9903717041;
11;1;17.0595741272;15.6897659302;6;31.672000885;1;9.72283363342;10.4951858521;5;22.0419120789;
12;1;18.0595741272;15.8360004425;6;31.672000885;1;9.95943069458;11.0209560394;5;22.9143505096;
13;1;19.0595741272;15.8360004425;7;31.672000885;1;11.7228336334;11.4571752548;5;23.6214065552;
14;1;20.0595741272;15.8360004425;7;31.672000885;1;12.7228336334;11.8107032776;5;24.1832637787;
15;1;21.0595741272;15.8360004425;7;31.672000885;1;13.7228336334;12.0916318893;5;24.6226100922;
16;1;21.5016002655;15.8360004425;8;31.672000885;1;14.7228336334;12.3113050461;5;24.9617595673;
17;1;21.5016002655;15.8360004425;8;31.672000885;1;15.7228336334;12.4808797836;5;25.0;
18;1;21.5016002655;15.8360004425;8;31.672000885;1;16.7228336334;12.5;5;25.0;
19;1;21.5016002655;15.8360004425;9;31.672000885;1;17.625;12.5;5;25.0;
20;1;21.5016002655;15.8360004425;9;31.672000885;1;17.625;12.5;7;25.0;
21;1;21.5016002655;15.8360004425;9;31.672000885;1;17.625;12.5;7;25.0;
22;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;7;25.0;
23;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;7;25.0;
24;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;7;25.0;
25;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;9;25.0;
26;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;8;25.0;
27;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;8;25.0;
28;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;8;25.0;
29;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;8;25.0;
30;1;21.5016002655;15.8360004425;10;31.672000885;1;17.625;12.5;8;25.0;
31;1;21.5016002655;15.8360004425;10;31.672000885;1;15.625;13.5;9;25.0;
32;1;21.5016002655;15.8360004425;10;31.672000885;1;14.625;14.5;10;25.0;
33;1;21.5016002655;15.8360004425;11;31.672000885;1;13.625;15.5;10;25.0;
34;1;21.5016002655;15.8360004425;11;31.672000885;1;12.625;16.5;10;25.0;
35;1;21.5016002655;15.8360004425;11;31.672000885;1;12.0;17.5;10;25.0;
36;1;21.5016002655;15.8360004425;12;31.672000885;1;12.0;18.5;11;25.0;
37;2;22.5016002655;15.8360004425;11;32.672000885;1;12.0;19.5;12;25.0;
38;2;23.5016002655;16.5360012054;11;32.7062408924;1;12.0;20.5;13;25.0;
39;2;23.5016002655;16.5599689484;11;32.7412991524;1;12.0;21.5;13;25.0;
40;3;23.8223896027;18.5599689484;11;32.7771708965;1;12.0;22.5;14;25.0;
41;3;23.5016002655;20.5599689484;11;32.8138495684;1;12.0;23.5;15;25.0;
42;3;23.8441543579;22.5599689484;12;32.8513268232;1;12.0;24.5;16;25.0;
43;3;23.8553981781;24.5599689484;12;32.8871768713;1;12.0;25.5;16;25.0;
44;3;23.866153717;25.8360004425;13;32.9236810207;1;12.0;26.5;17;25.0;
45;4;23.8771038055;25.8360004425;13;32.9608248472;1;12.0;27.5;17;25.0;
46;4;23.8882484436;25.8360004425;13;32.9985922575;1;12.0;28.5;18;25.0;
47;4;23.8995780945;25.8360004425;13;33.0369653702;1;12.0;29.5;18;25.0;
48;4;23.9110889435;25.8360004425;13;33.0759246349;1;13.0;27.5;19;25.0;
49;4;23.9227771759;25.8360004425;14;33.1154489517;1;12.0;28.5;20;25.0;
50;4;23.9346351624;25.8360004425;14;34.1555154324;1;12.0;29.5;20;25.0;
51;4;24.9466552734;26.8360004425;14;34.2645797729;1;13.0;27.5;21;25.0;
52;4;25.5016002655;28.8360004425;15;34.3780934811;1;12.0;28.5;21;25.0;
53;4;25.843875885;29.9316234589;15;34.4961559772;1;12.0;29.5;23;25.0;
54;5;25.8668327332;30.8964328766;13;49.6188541651;1;13.0;27.5;23;25.0;
55;5;26.5016002655;32.9241371155;13;51.4962614775;1;12.0;28.5;24;25.0;
56;5;28.5016002655;35.6437034607;13;52.3678091764;1;12.0;29.5;26;25.0;
57;5;30.9433841705;36.9803237915;14;53.166852355;1;13.0;27.5;26;25.0;
58;5;31.9715499878;38.3080368042;14;53.8960702419;1;12.0;28.5;27;25.0;
59;5;33.0010681152;39.2857818604;14;54.5605964661;1;12.0;29.5;27;25.0;
60;5;34.0319519043;40.2710952759;14;55.1671423912;1;12.0;30.5;28;25.0;
61;5;34.5016021729;42.1759490967;15;55.7232023478;1;12.0;31.5;30;25.0;
62;5;35.6859054565;41.3010177612;16;56.236415267;1;12.0;32.5;31;25.0;
63;6;33.0897064209;43.3979415894;15;56.6203887463;1;12.0;33.5;31;25.0;
64;6;32.7570991516;40.9732971191;15;56.896266222;1;12.0;34.5;31;25.0;
65;6;31.794631958;43.9732971191;17;59.0309576988;1;13.0;32.5;31;25.0;
66;6;30.4287223816;47.3214530945;18;60.7646286488;1;12.0;33.5;31;25.0;
67;6;32.5033493042;44.8829345703;18;62.188990593;1;12.0;34.5;33;25.0;
68;6;31.1512527466;46.3270759583;19;63.1015160084;2;13.0;32.5;32;25.0;
69;7;32.2523193359;44.5470809937;18;63.872803688;2;12.0;33.5;32;25.0;
70;7;31.330789566;44.7302856445;19;64.4223821163;2;12.0;34.5;34;25.0;
