Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.3999996185;16.0;4;32.0;1;6.0;14.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;13.0;6;20.0;
3;1;11.3999996185;16.0;6;32.0;1;8.0;12.0;6;20.0;
4;1;11.3999996185;16.0;6;32.0;1;8.0;11.0;6;20.0;
5;2;12.6999998093;16.0;5;33.0;1;8.0;10.0;6;20.0;
6;2;13.6999998093;16.0;5;33.0199999809;1;9.0;10.0;6;20.0;
7;2;14.7059993744;16.0;5;33.6801953316;1;9.5;10.0;6;20.0;
8;2;15.1040582657;16.3199996948;5;34.0605818033;1;9.5;10.0;6;20.3999996185;
9;2;15.2181739807;16.5;5;35.7523640394;2;9.59000015259;10.5;5;21.7264003754;
10;2;17.1227092743;17.3250007629;5;36.9561043978;2;9.88844013214;10.3632001877;5;22.1203716993;
11;2;19.1227092743;17.9053878784;5;37.7842305899;2;9.97708320618;10.4951858521;5;23.3625431061;
12;2;21.1227092743;18.2973766327;5;38.2348026037;2;10.2565727234;11.0209560394;5;24.4552544355;
13;2;22.1624412537;18.5;6;38.2812954187;2;12.0695371628;11.4571752548;5;25.4159293175;
14;2;23.1763877869;18.5;6;38.3289430141;2;14.0695371628;11.8107032776;4;26.2685976028;
15;2;24.1906833649;18.5;6;38.3734766245;2;16.0695381165;12.0916318893;4;27.0398178101;
16;2;25.2040424347;18.5;7;38.4153748751;2;17.2667045593;12.3113050461;4;27.7556357384;
17;3;25.5246124268;18.5;6;38.4579582214;2;17.7228336334;13.3190422058;4;28.218716383;
18;3;25.5373878479;18.5;6;38.5012018681;2;19.4470443726;12.5;5;28.6944839954;
19;3;25.5503616333;18.5;7;38.5450789928;2;19.625;13.5;5;29.2229990959;
20;3;25.5635242462;18.5;7;38.5895606279;2;19.625;13.7669000626;5;29.8048019409;
21;3;25.1000003815;18.9768676758;7;38.6346157789;2;20.625;12.5;5;30.4388051033;
22;3;25.590385437;18.5;7;38.680211544;2;20.8487319946;12.5;5;31.121984005;
23;3;25.6040649414;18.5;7;38.726312995;2;21.0024471283;12.5;5;31.8491544724;
24;3;25.617893219;18.5;8;38.7728835344;3;21.166059494;12.5;4;32.6128931046;
25;3;25.6318664551;18.5;8;38.8198847771;3;21.3379001617;12.5;6;33.4036521912;
26;3;25.1000003815;19.409942627;8;38.8672766685;4;21.5158214569;12.5;5;34.2100963593;
27;3;25.6601829529;18.5;8;38.915017724;4;21.697271347;12.5;5;35.0196552277;
28;3;25.1000003815;19.4575080872;8;38.9630651474;4;19.697271347;13.5;5;35.8192586899;
29;3;25.6889190674;18.5;8;39.0113749504;4;17.625;15.5;4;36.5961618423;
30;3;25.7034130096;18.5;8;39.0599019527;4;16.625;17.5;4;37.3387613297;
31;3;25.1000003815;19.5;9;39.1086001396;4;15.625;19.5;5;39.0372877121;
32;3;23.7325801849;19.5;9;39.157422781;4;15.625;21.5;5;39.7242908478;
33;3;22.7472267151;20.5;9;39.2063224316;4;17.625;21.2280006409;5;40.3560490608;
34;3;21.7618980408;21.5;10;39.255251646;4;17.2432670593;19.5;5;40.9301769733;
35;3;22.1000003815;20.5;10;39.3041622639;4;18.2527999878;19.5;5;41.4465616941;
36;3;23.1000003815;19.6520805359;11;39.3530068398;4;19.2625999451;19.5;5;41.9069803953;
37;3;24.8059024811;21.6520805359;11;39.4017374516;4;18.0;19.3482894897;5;42.3146383762;
38;3;25.8205223083;23.6520805359;11;39.4503068924;4;18.2829933167;17.5;6;42.6737086773;
39;3;25.8350925446;25.6520805359;12;39.4986684322;4;19.2935829163;17.5;6;42.9889185429;
40;3;25.1000003815;27.6520805359;11;39.5467760563;4;18.3044319153;16.5;6;43.2651957273;
41;3;25.8640327454;28.5;11;39.5945847034;4;18.3155345917;16.5;6;43.4528282881;
42;3;25.8783760071;28.5;11;39.6420505047;4;17.3268852234;15.5;7;43.5043625832;
43;3;25.1000003815;29.5;14;39.6891305447;5;18.3384819031;15.5;6;43.5569496155;
44;3;25.1000003815;29.8445663452;15;39.7357833385;5;19.3503131866;15.5;6;43.6105561256;
45;3;25.1000003815;29.8678913116;15;39.7819693089;6;20.3623752594;16.5;6;51.6651450396;
46;3;25.9345912933;28.5;15;39.8276500702;6;22.3746566772;17.5;6;51.9606750011;
47;3;25.1000003815;29.5;16;39.8727891445;6;24.0121517181;18.5;6;52.2445251942;
48;3;25.1000003815;29.9363937378;16;39.9173521996;6;26.024848938;20.5;7;52.516243577;
49;3;25.1000003815;29.9586753845;16;39.9613063335;6;27.625;23.5;7;52.7755697966;
50;3;25.1000003815;29.9806537628;17;40.0046212673;6;29.7157363892;26.5;7;53.0224231482;
51;3;25.1000003815;30.0023117065;17;40.0472681522;6;27.3463516235;30.5;8;53.2568798065;
52;3;26.0141811371;28.5;17;40.0892207623;6;26.3988418579;34.5;8;53.4791507721;
53;3;25.1000003815;29.5;18;40.1304550171;6;26.913433075;35.5;9;53.6895606518;
54;3;25.1000003815;30.0652275085;19;40.1709487438;6;26.4924163818;37.5;9;53.8885250092;
55;3;25.1000003815;30.0854740143;19;40.2106823921;7;28.0271091461;34.5;8;54.0765271187;
56;3;26.063205719;28.5;19;40.2496380806;7;29.0788917542;33.5;9;54.2540979385;
57;3;26.0748920441;28.5;20;40.2878005505;7;30.1275215149;32.5;9;54.3782629967;
58;3;25.1000003815;29.5;20;40.3251564503;7;30.4500007629;33.5;9;54.4406147003;
59;3;26.0975475311;28.5;20;40.3616948128;7;30.9991378784;32.5;10;54.5030794144;
60;3;26.1085090637;28.5;21;40.3974063396;7;31.0131931305;32.5;11;54.5655794144;
61;3;25.1000003815;29.5;21;41.9704470634;7;30.4500007629;33.5;11;54.628036499;
62;3;26.5439987183;29.2399997711;21;43.0324847698;7;31.0413074493;32.5;12;54.690372467;
63;3;26.9097442627;29.7248477936;21;43.6742653847;7;29.0553340912;33.5;12;55.7525100708;
64;3;27.1022796631;30.0;22;43.7647161484;7;28.4500007629;36.5;14;55.9043725729;
65;3;26.0;31.0;22;43.8539881706;7;28.625;39.4700622559;14;56.0630033016;
66;3;27.0;30.0;22;43.9419367313;7;29.6282100677;39.5;15;56.2287098169;
