Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.3999996185;16.0;4;32.0;1;9.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
3;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
4;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
5;1;12.3999996185;16.0;6;32.0;1;10.0;10.0;5;20.0;
6;1;13.3999996185;16.0;6;32.0;1;11.0;10.0;5;20.0;
7;1;14.3999996185;16.0;6;31.8360004425;2;11.3000001907;10.0;4;21.3999996185;
8;1;14.5508003235;15.9180002213;5;31.6884002686;2;11.4200000763;10.1999998093;4;21.8264003992;
9;1;14.5065202713;15.8442001343;5;32.7504692078;2;11.5479202271;10.3632001877;4;22.1992716789;
10;2;16.8507995605;16.3752346039;4;34.5003013611;2;11.659781456;10.4951858521;4;23.4054436684;
11;2;18.8507995605;16.7501506805;4;35.0897057056;2;12.0216331482;11.0209560394;4;24.4501843452;
12;2;20.8507995605;17.0080528259;4;35.191827774;2;14.0216331482;11.4571752548;4;25.3486692905;
13;2;21.8963489532;17.0200004578;5;35.2748534679;2;16.0216331482;11.8107032776;5;26.1225088835;
14;2;22.921257019;17.0200004578;5;35.3628385067;2;17.1943473816;12.0916318893;5;26.7957427502;
15;2;23.9476509094;17.0200004578;5;35.4559286833;2;18.2645130157;12.3113050461;5;27.3919057846;
16;2;24.6367778778;17.0200004578;5;35.55425179;2;19.3416175842;12.4808797836;5;27.7113106251;
17;2;24.6662750244;17.0200004578;6;35.6579135656;2;20.4259662628;12.5;4;28.0173821449;
18;3;24.6973743439;17.0200004578;6;35.7587109804;2;21.5177879333;12.5;4;28.3487696648;
19;3;24.7276134491;17.0200004578;6;35.8640557528;2;22.5046310425;12.5;5;28.7054548264;
20;3;24.7592163086;17.0200004578;7;35.9739358425;2;22.6116371155;12.5;5;29.0869145393;
21;3;24.2119998932;17.6001815796;7;36.0883100033;2;21.5;13.5;5;29.4920539856;
22;4;24.2119998932;17.6344928741;6;36.2071056366;2;22.5;12.5;5;29.9191560745;
23;4;24.2119998932;17.0200004578;6;36.3302166462;2;22.9757461548;12.5;5;30.3658571243;
24;4;24.2119998932;18.0200004578;7;36.4575018883;2;21.5;12.5;5;30.8291530609;
25;5;22.9372501373;18.0200004578;6;36.5887842178;3;21.5;12.5;3;31.3054442406;
26;5;21.9766349792;19.0200004578;6;36.7238497734;3;21.5;12.5;3;31.790620327;
27;5;21.0171546936;20.0200004578;6;36.8624477386;3;21.5;12.5;3;32.2801818848;
28;5;20.0587348938;21.0200004578;6;37.004291296;3;21.5;12.5;3;32.7693967819;
29;5;19.1012878418;22.0200004578;6;37.1490585804;3;21.5;12.5;3;33.2534770966;
30;5;18.1447181702;23.0200004578;6;38.2963950634;3;19.5;13.5;3;33.7277650833;
31;5;17.2119998932;25.5200004578;5;38.4801559448;3;18.5;14.5;2;34.187912941;
32;5;17.2119998932;27.2400779724;4;38.6665079594;3;17.5;15.5;2;34.6300430298;
33;5;17.2119998932;28.3332538605;4;39.8550121784;3;16.5;16.5;2;35.0508718491;
34;5;19.0;29.9275074005;5;40.2934499979;3;15.5;17.5;3;35.4477939606;
35;5;21.0;31.1467266083;5;40.7916328907;3;14.5;18.5;3;35.8189210892;
36;5;22.3537979126;29.7975025177;4;41.3611726761;3;14.0;19.5;3;36.1630792618;
37;5;22.831073761;30.6287956238;5;42.0152587891;3;14.0;20.5;3;36.4797668457;
38;5;23.015586853;31.648317337;5;42.7683626413;3;14.0;21.5;3;36.7690839767;
39;5;23.2754306793;32.6483154297;7;43.6356078386;3;14.0;22.5;3;38.0316419601;
40;5;24.4010944366;34.6483154297;8;44.6316901445;3;15.0;23.5;4;38.308467865;
41;5;25.0;36.6483154297;10;45.7692383528;4;16.0;24.5;3;38.5620846748;
42;5;27.0416965485;38.6483154297;11;47.0565892458;4;17.0;22.5;3;38.7940514088;
43;6;28.9458389282;40.6483154297;11;48.4950863123;4;16.0;23.5;3;39.0060595274;
44;6;28.5625400543;40.0200004578;12;50.0762577057;4;16.0;24.5;3;39.1998594999;
45;6;31.0688304901;38.0200004578;12;51.7794944048;4;17.0;22.5;3;39.2577478886;
46;6;33.1223220825;37.0200004578;12;53.5710995197;4;18.0;23.5;3;39.3048160076;
47;6;33.4919471741;38.0200004578;13;55.4055505991;4;19.0;24.5;4;39.3530313969;
48;6;36.505645752;37.0200004578;13;57.2294120789;4;20.0;25.5;4;39.4023760557;
49;6;37.6493301392;37.8858184814;12;58.7283530235;4;21.0;26.5;6;39.4528282881;
50;6;35.6771278381;38.9073562622;11;61.1114020348;4;22.0;27.5;6;39.5043625832;
51;6;37.7037086487;38.9290504456;11;62.3696825504;4;23.0;27.5;7;39.5569496155;
52;6;40.2876091003;39.0200004578;12;63.4769471884;4;23.5;27.5;7;39.6105561256;
53;6;39.7729454041;41.0200004578;12;64.4324969053;5;24.5;28.5;7;40.6651450396;
54;6;40.1327400208;43.0200004578;13;64.9000889063;5;25.5;29.5;9;40.8506752253;
55;6;40.2737960815;45.0200004578;14;65.2857037783;5;25.5;30.5;9;41.0525327921;
56;6;40.7115287781;45.1436386108;15;65.5849394798;5;27.0331306458;31.5;10;41.272100091;
57;6;39.8053970337;44.1436386108;15;65.6281216145;5;25.5;33.5;10;41.5107804537;
58;6;39.8220405579;44.1436386108;16;67.7215895653;5;25.5;34.5;10;41.7699661255;
59;6;40.413192749;46.7650871277;16;69.2705403566;5;25.5;35.5;10;42.0509974957;
60;6;39.9305419922;45.3380279541;16;70.4036159515;5;25.5;36.5;8;42.3551130295;
61;6;39.3911514282;47.0776062012;16;70.8795702457;5;25.5;37.5;7;42.6833896637;
62;6;38.3911514282;49.2935791016;18;71.1221780777;5;25.5;38.5;8;43.0366742611;
63;6;40.2191505432;48.3396492004;17;71.2157322168;5;26.5;36.5;8;43.4155082703;
64;6;41.3601531982;45.4880180359;16;71.310498476;5;25.5;37.5;8;43.8200480938;
65;6;39.5440635681;47.4880180359;18;71.4062849283;5;26.1948299408;38.5;9;44.2499861717;
66;7;37.7579917908;50.4791679382;17;71.5029034615;5;26.5;36.5;9;44.7044768333;
67;9;35.9925384521;50.2306442261;15;86.6001696587;5;25.5;37.5;10;45.182076931;
68;9;35.6395797729;50.2286720276;15;87.7479035854;5;25.5;38.5;10;45.680706501;
69;9;36.6395797729;52.850025177;17;88.800907135;5;26.5;36.5;11;46.1976361275;
70;10;38.6395797729;52.6203079224;16;89.7484623194;5;25.5;37.5;10;46.7295117378;
71;10;41.3752708435;55.2268981934;15;90.5867493153;5;25.5;38.5;9;47.2724165916;
72;10;42.3960380554;58.2268981934;15;91.317890048;6;26.5;36.5;9;49.3974225521;
73;10;42.4166564941;61.2268981934;16;91.9484858513;6;27.7999992371;36.0;11;51.2779955864;
74;10;41.5355796814;65.2268981934;17;92.4880285263;7;26.0340003967;37.3899993896;11;52.9424479008;
75;11;41.5355796814;69.2268981934;15;92.9474467039;7;26.2123565674;35.6872596741;11;54.4206638336;
76;11;41.5355796814;73.2268981934;14;93.3379628658;7;26.3458442688;34.9097442627;12;55.5920193195;
77;11;41.5355796814;77.2268981934;12;93.5715728998;7;27.3999996185;35.0;12;56.5352864265;
78;11;41.5355796814;81.2268981934;12;93.6653225422;7;28.3999996185;35.7364120483;12;57.4266073704;
79;11;41.5355796814;84.950553894;13;93.7579511404;7;30.3999996185;34.0;12;59.1517968178;
80;11;41.5355796814;86.9611434937;14;93.8493579626;7;27.3999996185;38.0;12;59.8258945942;
81;12;41.5355796814;88.9717788696;14;94.9394496679;7;27.3999996185;41.9198760986;13;61.4613213539;
82;13;40.5355796814;92.9824523926;14;95.0915790796;8;29.3999996185;46.9805488586;12;63.1157672405;
83;13;40.5355796814;96.9931411743;13;95.103623271;8;29.3999996185;51.0;10;63.8630105257;
84;13;39.5355796814;100.99130249;12;95.1305187941;9;28.3999996185;56.0;4;64.5847405195;
