Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.3999996185;16.0;4;32.0;1;6.0;14.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;13.0;6;20.0;
3;1;11.3999996185;16.0;6;32.0;1;8.0;12.0;6;20.0;
4;1;11.3999996185;16.0;6;31.7439994812;1;8.0;11.0;5;20.0;
5;1;12.3999996185;15.8719997406;6;31.5135993958;1;8.0;10.0;5;20.0;
6;1;13.3999996185;15.7567996979;6;31.3062400818;1;9.0;10.0;4;20.0;
7;1;14.391872406;15.6531200409;6;31.2116165161;1;9.5;10.0;4;20.0;
8;1;14.3634853363;15.6058082581;6;31.126455307;1;9.5;10.0;4;20.3999996185;
9;1;14.3379364014;15.5632276535;6;32.3446044922;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;16.3634853363;16.1723022461;6;33.21641922;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;17.3634853363;16.60820961;6;33.8221473694;1;9.72283363342;10.4951858521;4;22.0419120789;
12;1;18.3634853363;16.9110736847;6;34.0400009155;1;9.95943069458;11.0209560394;4;22.9143505096;
13;1;19.3634853363;17.0200004578;6;34.0400009155;1;11.7228336334;11.4571752548;4;23.6214065552;
14;1;20.3634853363;17.0200004578;7;34.0400009155;1;12.7228336334;11.8107032776;4;24.1832637787;
15;1;21.3634853363;17.0200004578;8;34.0400009155;1;13.7228336334;12.0916318893;4;24.6226100922;
16;1;22.2119998932;17.0200004578;8;34.0400009155;1;14.7228336334;12.3113050461;4;24.9617595673;
17;1;22.2119998932;17.0200004578;9;34.0400009155;1;15.7228336334;12.4808797836;4;25.0;
18;1;22.2119998932;17.0200004578;10;34.0400009155;1;16.7228336334;12.5;5;25.0;
19;1;22.2119998932;17.0200004578;10;34.0400009155;1;17.625;12.5;5;25.0;
20;1;22.2119998932;17.0200004578;11;34.0400009155;1;17.625;12.5;5;25.0;
21;1;22.2119998932;17.0200004578;11;34.0400009155;1;17.625;12.5;5;25.0;
22;2;21.2119998932;17.0200004578;9;49.0400009155;1;17.625;12.5;6;25.0;
23;2;22.1907997131;17.0200004578;9;49.7900009155;1;17.625;12.5;6;25.0;
24;2;23.1907997131;17.0200004578;9;50.4593753815;1;17.625;12.5;6;25.0;
25;2;22.1907997131;18.0200004578;9;51.047290802;1;17.625;12.5;7;25.0;
26;2;22.1907997131;19.0200004578;9;51.5562705994;1;17.625;12.5;7;25.0;
27;2;22.1907997131;20.0200004578;10;51.9913272858;2;17.625;12.5;6;25.0;
28;2;22.1907997131;21.0200004578;10;52.3590908051;2;17.625;12.5;6;25.0;
29;2;22.1907997131;22.0200004578;10;52.6670188904;2;17.625;12.5;6;25.0;
30;2;22.1907997131;23.0200004578;10;52.9227638245;2;17.625;12.5;6;25.0;
31;2;22.1907997131;24.0200004578;10;53.0400009155;2;15.625;13.5;6;25.0;
32;4;23.1907997131;25.0200004578;9;54.0400009155;2;14.625;14.5;6;25.0;
33;4;24.5499992371;26.4799995422;9;54.0768009424;3;14.625;16.2000007629;5;26.0;
34;4;24.5499992371;27.4969291687;9;54.1145735979;3;14.625;16.5;6;26.0399999619;
35;4;24.5499992371;28.5143032074;11;54.1533164978;3;14.234000206;17.5;6;26.0811839104;
36;4;24.5499992371;29.532125473;11;54.1930249929;3;14.2432661057;18.5;7;26.1235535145;
37;4;24.5499992371;30.5503921509;11;54.2336919308;3;14.2527999878;19.5;7;26.1671074629;
38;4;24.5499992371;31.5690975189;12;54.2753076553;3;14.2625989914;20.5;7;26.211841464;
39;4;25.8835315704;31.5690975189;12;54.3178601265;3;14.2726640701;21.5;7;26.2577478886;
40;4;26.5499992371;32.5690994263;13;54.3613346815;3;14.2829933167;22.5;6;26.3048160076;
41;4;27.9067592621;33.5690994263;13;55.4057139158;3;14.0;23.5;7;26.3530313969;
42;4;29.5499992371;34.6690979004;14;55.4877775908;3;14.0;24.5;8;26.4023760557;
43;4;31.9309635162;35.1199989319;15;55.5716754198;3;14.0;25.5;10;26.4528282881;
44;4;32.9434165955;35.1199989319;15;55.6573792696;3;14.0;26.5;10;26.5043625832;
45;4;33.9560966492;35.1199989319;16;55.7448558807;3;14.0;27.5;11;26.5569496155;
46;4;34.9689941406;35.1199989319;16;55.8340667486;3;14.0;28.5;11;26.6105561256;
47;4;35.5499992371;36.6440086365;17;55.9249680042;3;14.3623752594;29.5;11;26.6651450396;
48;4;36.1862068176;35.9353027344;17;56.0175107718;3;15.3746576309;27.5;13;26.72067523;
49;4;36.1997070312;35.9633865356;18;56.111640811;3;14.3871517181;28.5;13;26.7771017551;
50;4;35.7407989502;36.7972183228;16;56.2072986364;3;14.3998479843;29.5;13;26.8343759775;
51;4;35.7407989502;35.1199989319;16;56.3044193983;3;15.4127349854;27.5;15;26.8924454451;
52;4;35.7407989502;36.9038276672;17;56.4029332399;3;14.4258003235;28.5;14;26.9512542486;
53;4;35.7407989502;36.958366394;17;56.5027651787;3;14.439031601;29.5;13;27.0107431412;
54;4;35.7407989502;37.0136833191;16;56.6038354635;3;15.4524173737;27.5;15;27.0708494186;
55;4;34.2840423584;37.1442070007;16;56.7060595751;3;16.4659404755;27.5;14;27.1315076351;
56;4;33.2985343933;38.1762466431;17;56.8093485832;3;17.0;27.5;14;27.1926498413;
57;4;32.3131141663;39.2087745667;17;56.9136093855;3;18.0;27.5;16;27.2542052269;
58;4;31.3277664185;40.2417678833;17;58.9399228096;3;19.0;27.5;17;27.3161010742;
59;4;30.6097774506;41.2388420105;18;60.4723062515;3;19.625;27.5;18;27.3782629967;
60;4;31.2112979889;40.2470054626;18;61.6298218966;3;19.625;27.5;18;27.4406147003;
61;4;32.3875999451;39.3981933594;19;62.1618044376;3;19.625;27.2084312439;18;27.5030794144;
62;4;30.5313148499;40.4710845947;19;62.5979645252;3;19.625;26.252155304;20;27.5655794144;
63;4;29.6408004761;41.5537605286;19;62.7942798138;3;19.625;25.2959060669;20;27.628036499;
64;4;28.6408004761;42.6627807617;19;62.9937338829;3;19.625;24.3396263123;20;27.690372467;
65;4;27.6408004761;43.773651123;20;63.1959872246;3;19.625;24.3832607269;20;27.7525100708;
66;5;28.4500007629;45.8861885071;20;64.4006783962;3;19.625;24.4267578125;23;27.8143725395;
